NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,172.49,5,0.52661,1.02724,0.113694,3.33246,0
1,UE,0,100000,100000,0.505569,5,3.88826,0.33435,0.181754,0.595634,0
2,UE,0,100000,100000,0.49195,5,3.93291,0.33435,0.182246,0.550492,0
3,UE,0,100000,100000,0.50579,5,3.88754,0.33435,0.179621,0.598491,0
4,UE,0,100000,100000,0.505053,5,3.88995,0.33435,0.177134,0.598562,0
5,UE,0,100000,100000,0.505546,5,3.88789,0.335133,0.176987,0.599991,0
6,UE,0,100000,100000,0.503899,5,3.89374,0.33435,0.174778,0.597134,0
7,UE,0,100000,100000,0.50318,5,3.89609,0.33435,0.17285,0.596705,0
8,UE,0,100000,100000,0.501326,5,3.90217,0.33435,0.172345,0.591134,0
9,UE,0,100000,100000,0.500543,5,3.90474,0.33435,0.170419,0.590491,0
10,UE,0,100000,100000,0.500042,5,3.90638,0.33435,0.170205,0.589063,0
11,UE,0,100000,100000,0.499668,5,3.90761,0.33435,0.168763,0.589277,0
12,UE,0,100000,100000,0.491355,5,3.93487,0.33435,0.173578,0.557206,0
13,UE,0,100000,100000,0.448166,5,4.07633,0.33435,0.127183,0.462136,0
14,UE,0,100000,100000,0.445948,5,4.0836,0.33435,0.128695,0.45335,0
15,UE,0,100000,100000,0.493185,5,3.92886,0.33435,0.172223,0.564563,0
16,UE,0,100000,100000,0.490817,5,3.93663,0.33435,0.181173,0.547849,0
17,UE,0,100000,100000,0.48511,5,3.95412,0.336484,0.197764,0.511635,0
18,UE,0,100000,100000,0.46034,5,4.03655,0.33435,0.222745,0.406351,0
19,UE,0,100000,100000,0.476292,5,3.9829,0.336703,0.332328,0.348066,0
20,UE,0,100000,100000,0.492374,5,3.93152,0.33435,0.159421,0.574706,0
