Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,701,15,27,27,27,2,2,2
2,702,14.8148,26.802,10,27,2,2,2
3,692,14.9827,26.9682,12,27,2,2,2
4,690,15,27,27,27,2,2,2
5,714,14.9524,26.9062,2,27,2,2,2
6,682,15,27,27,27,2,2,2
7,679,15,27,27,27,2,2,2
8,713,14.9818,26.9762,18,27,2,2,2
9,710,15,27,27,27,2,2,2
10,705,14.9943,26.9887,19,27,2,2,2
21,701,14.9971,26.9971,26,27,2,2,2
22,701,14.7532,26.6476,16,27,2,2,2
23,233,15,27,27,27,2,2,2
24,229,14.9607,26.9258,10,27,2,2,2
25,506,15,27,27,27,2,2,2
26,505,15,27,27,27,2,2,2
27,137,15,27,27,27,2,2,2
28,328,14.7805,26.6494,23,27,1.99695,1,2
29,340,15,27,27,27,2,2,2
30,340,15,27,27,27,2,2,2
