Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2280,15,27,27,27,2,2,2
2,2140,14.8299,26.8178,7,27,2,2,2
3,2280,14.9724,26.9456,3,27,1.99868,1,2
4,2280,15,27,27,27,2,2,2
5,2276,14.9859,26.9736,2,27,2,2,2
6,2268,15,27,27,27,2,2,2
7,2268,15,27,27,27,2,2,2
8,2242,14.9884,26.9831,9,27,2,2,2
9,2245,15,27,27,27,2,2,2
10,2230,15,27,27,27,2,2,2
21,2229,14.9991,26.9987,25,27,2,2,2
22,2142,14.8133,26.7386,5,27,2,2,2
23,462,15,27,27,27,2,2,2
24,336,14.9315,26.8631,3,27,1.99702,1,2
25,2234,14.9996,26.9996,26,27,2,2,2
26,2226,15,27,27,27,2,2,2
27,925,15,27,27,27,2,2,2
28,2025,14.5131,26.1383,12,27,1.9921,1,2
29,2236,15,27,27,27,2,2,2
30,2230,15,27,27,27,2,2,2
