Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2280,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,2140,0,0,0,14.8299,26.8178,7,27,2,2,2,0,-inf,0,0,22.4068,2.4,22.7
3,2280,0,0,0,14.9724,26.9456,3,27,1.99868,1,2,0,-inf,0,0,22.6427,-2.3,22.7
4,2280,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,2276,0,0,0,14.9859,26.9736,2,27,2,2,2,0,-inf,0,0,22.6705,-4.7,22.7
6,2268,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,2268,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,2242,0,0,0,14.9884,26.9831,9,27,2,2,2,0,-inf,0,0,22.6783,4.3,22.7
9,2245,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,2230,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
21,2229,0,0,0,14.9991,26.9987,25,27,2,2,2,0,-inf,0,0,22.6985,21,22.7
22,2142,0,0,0,14.8133,26.7386,5,27,2,2,2,0,-inf,0,0,22.3757,0.2,22.7
23,462,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,336,0,0,0,14.9315,26.8631,3,27,1.99702,1,2,0,-inf,0,0,22.5586,-2.3,22.7
25,2234,0,0,0,14.9996,26.9996,26,27,2,2,2,0,-inf,0,0,22.6992,21,22.7
26,2226,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
27,925,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
28,2025,0,0,0,14.5131,26.1383,12,27,1.9921,1,2,0,-inf,0,0,21.7354,5.9,22.7
29,2236,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
30,2230,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
