Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2331,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,2340,0,0,0,14.9936,26.988,16,27,2,2,2,0,-inf,0,0,22.6863,10.3,22.7
3,2343,0,0,0,14.9842,26.9697,4,27,2,2,2,0,-inf,0,0,22.6671,-2.3,22.7
4,2341,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,2338,0,0,0,14.9944,26.9893,11,27,2,2,2,0,-inf,0,0,22.6881,5.9,22.7
6,2321,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,2318,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,2304,0,0,0,14.9931,26.9883,18,27,2,2,2,0,-inf,0,0,22.6852,11.7,22.7
9,2291,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,2281,0,0,0,14.9978,26.9965,24,27,2,2,2,0,-inf,0,0,22.6957,18.7,22.7
21,2278,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
22,2260,0,0,0,14.9907,26.9827,15,27,2,2,2,0,-inf,0,0,22.6806,10.3,22.7
23,1726,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,1715,0,0,0,14.9685,26.9399,3,27,2,2,2,0,-inf,0,0,22.6345,-2.3,22.7
25,2228,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,2227,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
27,2233,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
28,2111,0,0,0,14.6802,26.4098,15,27,1.99621,1,2,0,-inf,0,0,22.0271,10.3,22.7
29,2204,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
30,2188,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
