Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,701,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,694,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
3,692,0,0,0,14.9913,26.9855,18,27,2,2,2,0,-inf,0,0,22.6816,11.7,22.7
4,691,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,725,0,0,0,14.9697,26.9421,7,27,2,2,2,0,-inf,0,0,22.6361,2.4,22.7
6,682,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,679,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,713,0,0,0,14.9972,26.9958,24,27,2,2,2,0,-inf,0,0,22.6944,18.7,22.7
9,710,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,705,0,0,0,14.9986,26.9972,25,27,2,2,2,0,-inf,0,0,22.6976,21,22.7
21,701,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
22,693,0,0,0,14.9971,26.9957,24,27,2,2,2,0,-inf,0,0,22.6942,18.7,22.7
23,233,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,226,0,0,0,14.9735,26.9513,16,27,2,2,2,0,-inf,0,0,22.6451,10.3,22.7
25,506,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,505,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
27,137,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
28,338,0,0,0,14.9704,26.9527,16,27,2,2,2,0,-inf,0,0,22.6432,10.3,22.7
29,340,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
30,340,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
