Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2381,15,27,27,27,2,2,2
2,2387,14.9971,26.995,22,27,2,2,2
3,2391,14.9875,26.9762,13,27,2,2,2
4,2391,15,27,27,27,2,2,2
5,2375,14.9945,26.9903,16,27,2,2,2
6,2369,15,27,27,27,2,2,2
7,2360,15,27,27,27,2,2,2
8,2353,14.9992,26.9987,24,27,2,2,2
9,2341,15,27,27,27,2,2,2
10,2334,15,27,27,27,2,2,2
21,2327,15,27,27,27,2,2,2
22,2311,15,27,27,27,2,2,2
23,1797,15,27,27,27,2,2,2
24,1797,14.985,26.9711,8,27,2,2,2
25,2290,15,27,27,27,2,2,2
26,2283,15,27,27,27,2,2,2
27,2284,15,27,27,27,2,2,2
28,2194,14.9116,26.8541,17,27,2,2,2
29,2252,15,27,27,27,2,2,2
30,2246,15,27,27,27,2,2,2
