NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,548.751,5,3.18751,0.86881,0.0481407,0.895542,0
1,UE,0,100000,100000,0.343103,5,4.43801,0.30435,0.0548526,0.202783,0
2,UE,0,100000,100000,0.341817,5,4.44223,0.30435,0.0535675,0.199854,0
3,UE,0,100000,100000,0.341643,5,4.4428,0.30435,0.0534241,0.199426,0
4,UE,0,100000,100000,0.341687,5,4.44266,0.30435,0.0533543,0.19964,0
5,UE,0,100000,100000,0.347023,5,4.42516,0.30435,0.0564935,0.213997,0
6,UE,0,100000,100000,0.340663,5,4.44601,0.30435,0.0532822,0.196354,0
7,UE,0,100000,100000,0.34038,5,4.44694,0.30435,0.0529971,0.195711,0
8,UE,0,100000,100000,0.345891,5,4.42887,0.30435,0.0554235,0.211354,0
9,UE,0,100000,100000,0.345238,5,4.43101,0.30435,0.0552111,0.209425,0
10,UE,0,100000,100000,0.344911,5,4.43209,0.30435,0.0548521,0.208711,0
11,UE,0,100000,100000,0.344278,5,4.43416,0.30435,0.0540639,0.207425,0
12,UE,0,100000,100000,0.343472,5,4.4368,0.30435,0.0536345,0.205211,0
13,UE,0,100000,100000,0.292649,5,4.60344,0.30435,0.0170708,0.0751416,0
14,UE,0,100000,100000,0.292409,5,4.60422,0.30435,0.0169994,0.0744274,0
15,UE,0,100000,100000,0.323126,5,4.50351,0.30435,0.0372844,0.154855,0
16,UE,0,100000,100000,0.322233,5,4.50644,0.30435,0.037213,0.151998,0
17,UE,0,100000,100000,0.284131,5,4.63137,0.30435,0.0109282,0.0533562,0
18,UE,0,100000,100000,0.305326,5,4.56187,0.30435,0.0277783,0.105998,0
19,UE,0,100000,100000,0.304957,5,4.56308,0.30435,0.027498,0.10507,0
20,UE,0,100000,100000,0.304848,5,4.56344,0.30435,0.0272848,0.104927,0
