NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,1164.08,5,1.00487,0.902027,0.0694172,3.02368,0
1,UE,0,100000,100000,0.484545,5,3.96796,0.31535,0.173345,0.543349,0
2,UE,0,100000,100000,0.484437,5,3.96831,0.31535,0.171776,0.544563,0
3,UE,0,100000,100000,0.484196,5,3.9691,0.31535,0.170057,0.545492,0
4,UE,0,100000,100000,0.484045,5,3.9696,0.31535,0.171417,0.543635,0
5,UE,0,100000,100000,0.482695,5,3.97402,0.31535,0.169278,0.541349,0
6,UE,0,100000,100000,0.482129,5,3.97588,0.31535,0.16678,0.541992,0
7,UE,0,100000,100000,0.480953,5,3.97974,0.31535,0.165994,0.53892,0
8,UE,0,100000,100000,0.481642,5,3.97703,0.316133,0.166277,0.540563,0
9,UE,0,100000,100000,0.480299,5,3.98188,0.31535,0.165921,0.536849,0
10,UE,0,100000,100000,0.478556,5,3.98759,0.31535,0.162923,0.534135,0
11,UE,0,100000,100000,0.478484,5,3.98783,0.31535,0.164543,0.532278,0
12,UE,0,100000,100000,0.48161,5,3.97717,0.316061,0.165561,0.541206,0
13,UE,0,100000,100000,0.323554,5,4.4958,0.31535,0.0337825,0.155069,0
14,UE,0,100000,100000,0.316646,5,4.51845,0.31535,0.030278,0.135926,0
15,UE,0,100000,100000,0.484989,5,3.9665,0.31535,0.171587,0.546563,0
16,UE,0,100000,100000,0.471764,5,4.00986,0.31535,0.180082,0.494707,0
17,UE,0,100000,100000,0.366584,5,4.35472,0.31535,0.0745812,0.255353,0
18,UE,0,100000,100000,0.465264,5,4.03118,0.31535,0.242338,0.411137,0
19,UE,0,100000,100000,0.449554,5,4.08268,0.31535,0.343616,0.258353,0
20,UE,0,100000,100000,0.478753,5,3.98695,0.31535,0.173351,0.524349,0
