Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,698,13,23.9971,23,24,2,2,2
2,695,11.6964,20.6964,20,21,2,2,2
3,694,15,27,27,27,2,2,2
4,689,15,27,27,27,2,2,2
5,688,15,27,27,27,2,2,2
6,682,15,27,27,27,2,2,2
7,682,15,27,27,27,2,2,2
8,675,13,23,23,23,2,2,2
9,675,15,27,27,27,2,2,2
10,677,6,10,10,10,2,2,2
21,702,15,27,27,27,2,2,2
22,660,13,23,23,23,2,2,2
23,233,15,27,27,27,2,2,2
24,232,15,27,27,27,2,2,2
25,468,15,27,27,27,2,2,2
26,461,15,27,27,27,2,2,2
27,137,15,27,27,27,2,2,2
28,342,12,21.9971,21,22,2,2,2
29,341,15,27,27,27,2,2,2
30,324,15,27,27,27,2,2,2
