NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,131.018,5,2.9486,0.862644,0.148854,1.0399,0
1,UE,0,100000,100000,0.342423,5,4.4418,0.301636,0.0539968,0.202568,0
2,UE,0,100000,100000,0.356714,5,4.39494,0.301636,0.102853,0.200568,0
3,UE,0,100000,100000,0.341748,5,4.44401,0.301636,0.0535669,0.200783,0
4,UE,0,100000,100000,0.341225,5,4.44573,0.301636,0.0535665,0.199068,0
5,UE,0,100000,100000,0.341529,5,4.44473,0.301636,0.0532079,0.200426,0
6,UE,0,100000,100000,0.340288,5,4.4488,0.301636,0.0531393,0.196426,0
7,UE,0,100000,100000,0.340659,5,4.44758,0.301636,0.0529257,0.197854,0
8,UE,0,100000,100000,0.339569,5,4.45116,0.301636,0.0524236,0.194783,0
9,UE,0,100000,100000,0.34018,5,4.44915,0.301636,0.0528554,0.196354,0
10,UE,0,100000,100000,0.368435,5,4.35652,0.301636,0.145994,0.195854,0
11,UE,0,100000,100000,0.347106,5,4.42645,0.301636,0.0547067,0.217211,0
12,UE,0,100000,100000,0.337999,5,4.4563,0.301636,0.0507774,0.191283,0
13,UE,0,100000,100000,0.296086,5,4.59372,0.301636,0.0170708,0.08757,0
14,UE,0,100000,100000,0.295978,5,4.59408,0.301636,0.0169994,0.0872843,0
15,UE,0,100000,100000,0.321728,5,4.50965,0.301636,0.0345702,0.15414,0
16,UE,0,100000,100000,0.320987,5,4.51208,0.301636,0.0340702,0.152212,0
17,UE,0,100000,100000,0.287656,5,4.62137,0.301636,0.0109282,0.0660703,0
18,UE,0,100000,100000,0.317844,5,4.52239,0.301636,0.0511222,0.124855,0
19,UE,0,100000,100000,0.311221,5,4.5423,0.304774,0.027498,0.125427,0
20,UE,0,100000,100000,0.303754,5,4.56858,0.301636,0.0262827,0.103498,0
