SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,44047,2,2,96,0.00885233,1.68229e-05,0.021145,-20.5294,-47.741,-16.7479
0,2,44047,2,2,96,10.5683,0.00762448,25.2608,10.24,-21.1779,14.0245
0,3,44047,2,2,96,3.36056,0.00253878,7.89793,5.26411,-25.9538,8.97513
0,4,44047,2,2,96,8.23618,0.0224924,19.7656,9.15726,-16.4796,12.9591
0,5,44047,2,2,96,3.98024,0.00360875,9.3787,5.99909,-24.4264,9.72143
0,6,44047,2,2,96,7.92582,0.0289152,19.4676,8.99044,-15.3887,12.8931
0,7,44047,2,2,96,0.152761,0.000411779,0.383655,-8.15987,-33.8534,-4.1606
0,8,44047,2,2,96,0.0865714,6.56424e-05,0.205226,-10.6263,-41.8282,-6.87768
0,9,44047,2,2,96,0.688136,0.0012524,1.79043,-1.62326,-29.0226,2.52958
0,10,44047,2,2,96,12.8576,0.00736248,30.6355,11.0916,-21.3298,14.8623
0,11,44047,2,2,96,0.21901,0.000159574,0.553522,-6.59536,-37.9704,-2.56865
0,12,44047,2,2,96,0.0764108,5.08959e-05,0.181313,-11.1685,-42.9332,-7.41571
0,13,44047,2,2,96,5.24975,0.00557836,12.8473,7.20139,-22.5349,11.0881
0,14,44047,2,2,96,2.45907,0.00142825,5.76179,3.90771,-28.452,7.60557
0,15,44047,2,2,96,1.30194,0.000695345,3.22302,1.14592,-31.578,5.08263
0,16,44047,2,2,96,0.0411388,7.2016e-05,0.106803,-13.8575,-41.4257,-9.71415
0,17,44047,2,2,96,5.90233,0.00432701,14.4711,7.71024,-23.6381,11.605
0,18,44047,2,2,96,10.5386,0.00566481,25.3651,10.2278,-22.4681,14.0424
0,19,44047,2,2,96,0.132316,0.000299543,0.357372,-8.78387,-35.2354,-4.4688
0,20,44047,2,2,96,0.156844,0.000158534,0.39444,-8.04532,-37.9988,-4.04019
1,0,3898,2,2,96,0.00861698,1.67961e-05,0.0211591,-20.6464,-47.7479,-16.745
2,0,3992,2,2,96,9.92272,0.00758844,25.2902,9.96631,-21.1985,14.0295
3,0,3642,2,2,96,3.06825,0.00253358,7.89717,4.86891,-25.9627,8.97472
4,0,3629,2,2,96,7.46267,0.0224605,19.7576,8.72894,-16.4858,12.9573
5,0,3663,2,2,96,3.61249,0.00360161,9.37745,5.57807,-24.435,9.72085
6,0,3597,2,2,96,7.3185,0.0288778,19.4603,8.64422,-15.3944,12.8915
7,0,3620,2,2,96,0.150332,0.000411779,0.383847,-8.22948,-33.8534,-4.15842
8,0,3853,2,2,96,0.0828805,6.56424e-05,0.205226,-10.8155,-41.8282,-6.87768
9,0,3581,2,2,96,0.657571,0.0012524,1.78203,-1.82057,-29.0226,2.50916
10,0,4044,2,2,96,11.8424,0.00727722,30.6352,10.7344,-21.3803,14.8622
11,0,3564,2,2,96,0.215003,0.000159574,0.55272,-6.67555,-37.9704,-2.57495
12,0,3790,2,2,96,0.0733388,5.08959e-05,0.181313,-11.3467,-42.9332,-7.41571
13,0,818,2,2,96,4.85282,0.00557836,12.8379,6.85994,-22.5349,11.085
14,0,814,2,2,96,2.12698,0.0014315,5.76012,3.27764,-28.4421,7.60432
15,0,3468,2,2,96,1.24195,0.000701758,3.22318,0.941049,-31.5381,5.08284
16,0,3421,2,2,96,0.0403549,7.23367e-05,0.107028,-13.941,-41.4064,-9.70503
17,0,1862,2,2,96,5.75384,0.0534487,14.4283,7.59958,-12.7206,11.5922
18,0,4285,2,2,96,7.82534,0.00567792,25.3642,8.93503,-22.4581,14.0422
19,0,3078,2,2,96,0.134737,0.000304212,0.357372,-8.70512,-35.1682,-4.4688
20,0,3693,2,2,96,0.158992,0.00015903,0.395078,-7.98624,-37.9852,-4.03317
