Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2380,0,0,0,13,23.9933,23,24,2,2,2,0,-inf,0,0,18.7,18.7,18.7
2,2505,0,0,0,11.5816,20.5816,20,21,2,2,2,0,-inf,0,0,15.3796,14.1,16.3
3,2123,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
4,2119,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,2123,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
6,2117,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,2112,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,2352,0,0,0,13,23,23,23,2,2,2,0,-inf,0,0,18.7,18.7,18.7
9,2092,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,2562,0,0,0,6,10,10,10,2,2,2,0,-inf,0,0,4.3,4.3,4.3
21,2069,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
22,2305,0,0,0,12.9996,22.9991,21,23,2,2,2,0,-inf,0,0,18.699,16.3,18.7
23,375,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,373,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
25,2045,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,2034,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
27,918,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
28,2418,0,0,0,11.9181,21.7663,17,22,2,2,2,0,-inf,0,0,16.1137,11.7,16.3
29,2266,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
30,2250,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
