Component,Metric,Value
cache,lookup_hits,3174908
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.31628
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.057415
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,947252
cache,spectrum_channel_matrix_seconds,1.70612
cache,port_cfr_cache_hits,957602
cache,port_cfr_cache_misses,30805
cache,port_cfr_seconds,0.223587
cache,effective_gain_cache_hits,900607
cache,effective_gain_cache_misses,46645
cache,effective_gain_seconds,1.01472
cache,scaled_matrix_cache_hits,5490
cache,scaled_matrix_cache_misses,941762
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000286673
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.00336218
python,python_export_seconds,0.00851104
python,python_initialize_seconds,2.2699
python,python_path_solve_seconds,0.0412817
python,python_perform_calculation_seconds,0.0571028
phased_model,do_calc_rx_psd_calls,2207180
phased_model,do_calc_rx_psd_seconds,3.48593
phased_model,effective_gain_fast_path_calls,947252
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,1.32965
