Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,1226,15,27,27,27,2,2,2
2,1254,14.1045,26.1029,25,27,2,2,2
3,1279,15,27,27,27,2,2,2
4,1225,15,27,27,27,2,2,2
5,1250,15,27,27,27,2,2,2
6,1236,15,27,27,27,2,2,2
7,1246,15,27,27,27,2,2,2
8,1223,15,27,27,27,2,2,2
9,1228,15,27,27,27,2,2,2
10,1252,9.85783,16.8578,16,17,2,2,2
21,1190,15,27,27,27,2,2,2
22,1188,15,27,27,27,2,2,2
23,849,15,27,27,27,2,2,2
24,848,15,27,27,27,2,2,2
25,1154,15,27,27,27,2,2,2
26,1163,15,27,27,27,2,2,2
27,1144,15,27,27,27,2,2,2
28,1055,14.9346,26.8948,24,27,2,2,2
29,1148,15,27,27,27,2,2,2
30,1139,15,27,27,27,2,2,2
