SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,27629,8,2,96,0.0179216,5.19631e-06,0.0821638,-17.4662,-52.8431,-10.8532
0,2,27629,8,2,96,28.4497,0.0304586,97.8088,14.5408,-15.1629,19.9038
0,3,27629,8,2,96,7.90961,0.00978948,30.3207,8.98155,-20.0924,14.8174
0,4,27629,8,2,96,21.235,0.000338931,77.1052,13.2705,-34.6989,18.8708
0,5,27629,8,2,96,9.49843,0.0139914,36.1258,9.77652,-18.5414,15.5782
0,6,27629,8,2,96,23.2418,0.00237152,73.8463,13.6627,-26.2497,18.6833
0,7,27629,8,2,96,0.420929,7.65219e-06,1.52374,-3.75792,-51.1621,1.82912
0,8,27629,8,2,96,0.179757,0.000236599,0.79091,-7.45315,-36.2599,-1.01873
0,9,27629,8,2,96,1.97064,0.000493061,7.17603,2.94607,-33.071,8.55884
0,10,27629,8,2,96,35.7648,0.0292185,118.883,15.5346,-15.3434,20.7512
0,11,27629,8,2,96,0.614342,0.000460215,2.2028,-2.11589,-33.3704,3.42974
0,12,27629,8,2,96,0.158005,0.000183079,0.696294,-8.0133,-37.3736,-1.57207
0,13,27629,8,2,96,15.2553,0.0171375,50.2102,11.8342,-17.6605,17.0079
0,14,27629,8,2,96,5.67793,0.00546295,22.27,7.5419,-22.6257,13.4772
0,15,27629,8,2,96,3.69528,0.00212815,12.8382,5.67647,-26.72,11.085
0,16,27629,8,2,96,0.112754,4.04307e-05,0.420676,-9.4787,-43.9329,-3.76053
0,17,27629,8,2,96,17.235,0.0150436,56.3638,12.3641,-18.2265,17.51
0,18,27629,8,2,96,30.6325,0.0210901,94.0967,14.8618,-16.7592,19.7357
0,19,27629,8,2,96,0.377461,1.90572e-05,1.43489,-4.23128,-47.1994,1.56818
0,20,27629,8,2,96,0.431104,0.000434616,1.56306,-3.65418,-33.6189,1.93976
1,0,2140,2,8,96,0.0453912,6.72861e-05,0.0846361,-13.4303,-41.7207,-10.7244
2,0,2165,2,8,96,52.9997,0.0304993,101.2,17.2427,-15.1571,20.0518
3,0,2215,2,8,96,16.5348,0.0101133,31.6037,12.184,-19.9511,14.9974
4,0,2152,2,8,96,39.7143,0.0898418,79.1889,15.9895,-10.4652,18.9866
5,0,2214,2,8,96,19.1787,0.0144064,37.5347,12.8282,-18.4144,15.7443
6,0,2170,2,8,96,39.5367,0.115511,77.9866,15.97,-9.37375,18.9202
7,0,2160,2,8,96,0.806094,0.00164691,1.53523,-0.936146,-27.8333,1.86175
8,0,2141,2,8,96,0.437458,0.000262551,0.82137,-3.59064,-35.8079,-0.854612
9,0,2157,2,8,96,3.62903,0.00500959,7.19546,5.5979,-23.002,8.57059
10,0,2177,2,8,96,64.255,0.029109,122.539,18.0791,-15.3597,20.8828
11,0,2111,2,8,96,1.16888,0.000638305,2.2173,0.677713,-31.9497,3.45824
12,0,2080,2,8,96,0.390394,0.000203605,0.725751,-4.08497,-36.9121,-1.39212
13,0,1558,2,8,96,28.0272,0.0223135,51.3517,14.4758,-16.5143,17.1056
14,0,1571,2,8,96,12.8125,0.00571304,23.0372,11.0763,-22.4313,13.6243
15,0,2071,2,8,96,6.81877,0.00285242,12.8926,8.33706,-25.4479,11.1034
16,0,2060,2,8,96,0.22012,0.000288061,0.428111,-6.5734,-35.4052,-3.68443
17,0,2217,2,8,96,27.2917,0.0176562,57.9414,14.3603,-17.531,17.6299
18,0,1809,2,8,96,53.8262,0.0230831,101.443,17.3099,-16.3671,20.0622
19,0,3311,2,8,96,0.795675,0.00124859,1.44087,-0.992644,-29.0358,1.58626
20,0,2012,2,8,96,0.8587,0.000641941,1.58016,-0.661588,-31.925,1.98701
