Component,Metric,Value
cache,lookup_hits,1994765
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.316655
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0646495
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,595071
cache,spectrum_channel_matrix_seconds,2.19553
cache,port_cfr_cache_hits,589720
cache,port_cfr_cache_misses,26422
cache,port_cfr_seconds,0.772833
cache,effective_gain_cache_hits,553469
cache,effective_gain_cache_misses,41602
cache,effective_gain_seconds,1.61483
cache,scaled_matrix_cache_hits,20531
cache,scaled_matrix_cache_misses,574540
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000659377
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.00462634
python,python_export_seconds,0.0122824
python,python_initialize_seconds,2.23507
python,python_path_solve_seconds,0.0416891
python,python_perform_calculation_seconds,0.0639562
phased_model,do_calc_rx_psd_calls,1402400
phased_model,do_calc_rx_psd_seconds,4.3033
phased_model,effective_gain_fast_path_calls,595071
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,1.81014
