UeIndex,UeNodeId,Distance_m,HorizontalDistance_m,Azimuth_deg,Elevation_deg,FreeSpacePathloss_dB,EstimatedRxPower_dBm
0,1,402.105,400.707,-93.1575,-4.77894,90.5574,-44.5574
1,2,639.616,638.738,-165.138,-3.00225,94.589,-48.589
2,3,805.789,805.093,-41.8393,-2.38271,96.595,-50.595
3,4,309.899,308.083,-25.1772,-6.20579,88.295,-42.295
4,5,687.466,686.649,-39.3327,-2.79311,95.2156,-49.2156
5,6,263.189,261.048,156.735,-7.31274,86.8759,-40.8759
6,7,322.669,320.926,92.6596,-5.95927,88.6458,-42.6458
7,8,951.838,951.249,-70.6996,-2.01694,98.0419,-52.0419
8,9,395.958,394.538,121.17,-4.85331,90.4236,-44.4236
9,10,947.059,946.467,-174.711,-2.02713,97.9981,-51.9981
10,11,858.728,858.074,114.185,-2.23574,97.1477,-51.1477
11,12,986.054,985.485,-107.939,-1.94693,98.3486,-52.3486
12,13,618.063,617.154,32.8828,-3.10705,94.2912,-48.2912
13,14,992.415,991.849,-45.3268,-1.93445,98.4045,-52.4045
14,15,979.289,978.716,53.5788,-1.96038,98.2888,-52.2888
15,16,433.877,432.582,74.3253,-4.42826,91.2179,-45.2179
16,17,851.787,851.128,30.9849,-2.25397,97.0772,-51.0772
17,18,978.899,978.325,17.0834,-1.96117,98.2854,-52.2854
18,19,343.037,341.398,69.6931,-5.60427,89.1774,-43.1774
19,20,645.462,644.592,84.0802,-2.97503,94.668,-48.668
