SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,15198,8,2,96,0.0172943,5.19631e-06,0.0821638,-17.621,-52.8431,-10.8532
0,2,15198,8,2,96,25.9305,0.0304586,97.8088,14.1381,-15.1629,19.9038
0,3,15198,8,2,96,7.45041,0.00978948,30.3207,8.7218,-20.0924,14.8174
0,4,15198,8,2,96,19.6166,0.000338931,77.1052,12.9262,-34.6989,18.8708
0,5,15198,8,2,96,8.92217,0.0139914,36.1258,9.50471,-18.5414,15.5782
0,6,15198,8,2,96,20.2763,0.00237152,73.7157,13.0699,-26.2497,18.6756
0,7,15198,8,2,96,0.353406,7.65219e-06,1.52514,-4.51725,-51.1621,1.8331
0,8,15198,8,2,96,0.172666,0.000236599,0.79091,-7.62793,-36.2599,-1.01873
0,9,15198,8,2,96,1.63965,0.000493061,7.11021,2.14751,-33.071,8.51883
0,10,15198,8,2,96,32.2914,0.0292185,118.883,15.0909,-15.3434,20.7512
0,11,15198,8,2,96,0.513718,0.000460215,2.19702,-2.89275,-33.3704,3.41834
0,12,15198,8,2,96,0.151766,0.000183079,0.696294,-8.18825,-37.3736,-1.57207
0,13,15198,8,2,96,13.1978,0.0171375,50.3003,11.205,-17.6605,17.0157
0,14,15198,8,2,96,5.36739,0.00546295,22.27,7.29763,-22.6257,13.4772
0,15,15198,8,2,96,3.128,0.00212815,12.8448,4.95267,-26.72,11.0873
0,16,15198,8,2,96,0.0960689,4.04307e-05,0.425206,-10.1742,-43.9329,-3.71401
0,17,15198,8,2,96,14.8465,0.0150436,56.2658,11.7162,-18.2265,17.5024
0,18,15198,8,2,96,26.8854,0.0210901,94.1103,14.2952,-16.7592,19.7364
0,19,15198,8,2,96,0.309037,1.90572e-05,1.41253,-5.09989,-47.1994,1.49996
0,20,15198,8,2,96,0.361088,0.000434616,1.56524,-4.42387,-33.6189,1.94581
1,0,1449,2,8,96,0.0374428,6.72861e-05,0.0846361,-14.2663,-41.7207,-10.7244
2,0,1433,2,8,96,45.1214,0.0304993,101.005,16.5438,-15.1571,20.0434
3,0,1434,2,8,96,13.0279,0.0101343,31.5856,11.1487,-19.9421,14.9949
4,0,1430,2,8,96,32.6609,0.0899698,78.9988,15.1403,-10.459,18.9762
5,0,1566,2,8,96,16.0336,0.0144349,37.5098,12.0503,-18.4059,15.7414
6,0,1407,2,8,96,33.5604,0.115511,77.8119,15.2583,-9.37375,18.9105
7,0,1415,2,8,96,0.700723,0.00164691,1.53523,-1.54454,-27.8333,1.86175
8,0,1529,2,8,96,0.400254,0.000262551,0.820454,-3.97664,-35.8079,-0.85946
9,0,1404,2,8,96,2.97637,0.00500959,7.04466,4.73687,-23.002,8.4786
10,0,1559,2,8,96,50.1514,0.029109,122.541,17.0028,-15.3597,20.8828
11,0,1535,2,8,96,1.04197,0.000638305,2.20928,0.178556,-31.9497,3.44251
12,0,1381,2,8,96,0.322363,0.000203605,0.724503,-4.91655,-36.9121,-1.3996
13,0,667,2,8,96,22.462,0.0223135,51.377,13.5145,-16.5143,17.1077
14,0,665,2,8,96,12.4471,0.00572601,23.0405,10.9507,-22.4215,13.6249
15,0,1087,2,8,96,4.83854,0.00278761,12.8914,6.84714,-25.5477,11.103
16,0,1074,2,8,96,0.178877,0.000289344,0.426317,-7.47445,-35.3859,-3.70267
17,0,471,2,8,96,21.5564,0.0173943,57.6056,13.3358,-17.5959,17.6046
18,0,817,2,8,96,36.6845,0.0227119,101.457,15.6448,-16.4375,20.0628
19,0,829,2,8,96,0.474389,0.00125503,1.3924,-3.23866,-29.0135,1.43763
20,0,726,2,8,96,0.93671,0.000645992,1.58016,-0.283947,-31.8977,1.98701
