Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2121,15,27,27,27,2,2,2
2,2161,14.2189,26.2189,26,27,2,2,2
3,2127,15,27,27,27,2,2,2
4,2111,15,27,27,27,2,2,2
5,2113,15,27,27,27,2,2,2
6,2106,15,27,27,27,2,2,2
7,2102,15,27,27,27,2,2,2
8,2091,15,27,27,27,2,2,2
9,2083,15,27,27,27,2,2,2
10,2468,9.76621,16.7662,16,17,2,2,2
21,2068,15,27,27,27,2,2,2
22,2058,14.9995,26.9995,26,27,2,2,2
23,375,15,27,27,27,2,2,2
24,373,15,27,27,27,2,2,2
25,2034,15,27,27,27,2,2,2
26,2032,15,27,27,27,2,2,2
27,918,15,27,27,27,2,2,2
28,2127,14.9107,26.8557,23,27,2,2,2
29,2149,15,27,27,27,2,2,2
30,2139,15,27,27,27,2,2,2
