NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,366.213,5,0.796839,0.952215,0.275832,2.97511,0
1,UE,0,100000,100000,0.471164,5,4.01339,0.312636,0.161486,0.512492,0
2,UE,0,100000,100000,0.474453,5,4.0026,0.312636,0.166696,0.518064,0
3,UE,0,100000,100000,0.472145,5,4.01017,0.312636,0.159986,0.517206,0
4,UE,0,100000,100000,0.470513,5,4.01552,0.312636,0.158135,0.513707,0
5,UE,0,100000,100000,0.471428,5,4.01252,0.312636,0.157564,0.517278,0
6,UE,0,100000,100000,0.468683,5,4.02152,0.312636,0.156423,0.509421,0
7,UE,0,100000,100000,0.468509,5,4.02209,0.312636,0.155422,0.509849,0
8,UE,0,100000,100000,0.467287,5,4.0261,0.312636,0.15456,0.506707,0
9,UE,0,100000,100000,0.46633,5,4.02924,0.312636,0.153065,0.505064,0
10,UE,0,100000,100000,0.516306,5,3.86538,0.312636,0.285349,0.536635,0
11,UE,0,100000,100000,0.465668,5,4.03141,0.312636,0.152609,0.50335,0
12,UE,0,100000,100000,0.464076,5,4.03662,0.312636,0.155532,0.495207,0
13,UE,0,100000,100000,0.308148,5,4.54787,0.312636,0.0272133,0.112284,0
14,UE,0,100000,100000,0.307995,5,4.54837,0.312636,0.0270705,0.111927,0
15,UE,0,100000,100000,0.460667,5,4.0478,0.312636,0.157282,0.482278,0
16,UE,0,100000,100000,0.457113,5,4.05946,0.312636,0.170343,0.457565,0
17,UE,0,100000,100000,0.365577,5,4.35957,0.312636,0.0738669,0.253925,0
18,UE,0,100000,100000,0.527162,5,3.80958,0.347846,0.253007,0.589563,0
19,UE,0,100000,100000,0.447606,5,4.08813,0.316984,0.327389,0.267496,0
20,UE,0,100000,100000,0.472431,5,4.00923,0.312636,0.171709,0.506421,0
