NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,907.857,5,1.13951,0.756156,1.20705,1.89729,0
1,UE,0,100000,100000,0.391199,5,4.27755,0.309422,0.106536,0.306495,0
2,UE,0,100000,100000,0.388563,5,4.28619,0.309422,0.104322,0.300067,0
3,UE,0,100000,100000,0.393709,5,4.26932,0.309422,0.105549,0.31571,0
4,UE,0,100000,100000,0.389442,5,4.28331,0.309422,0.100061,0.30721,0
5,UE,0,100000,100000,0.392447,5,4.27345,0.309422,0.100485,0.316638,0
6,UE,0,100000,100000,0.385523,5,4.29616,0.309422,0.0962825,0.298138,0
7,UE,0,100000,100000,0.387461,5,4.2898,0.309422,0.0969232,0.303853,0
8,UE,0,100000,100000,0.385172,5,4.29731,0.309422,0.0941302,0.299138,0
9,UE,0,100000,100000,0.387439,5,4.28988,0.309422,0.0950642,0.305638,0
10,UE,0,100000,100000,0.383149,5,4.30394,0.309422,0.0930683,0.293567,0
11,UE,0,100000,100000,0.38092,5,4.31125,0.309422,0.0895455,0.289781,0
12,UE,0,100000,100000,0.381676,5,4.30877,0.309422,0.0922399,0.289567,0
13,UE,0,100000,100000,0.352843,5,4.40317,0.309422,0.0649139,0.222497,0
14,UE,0,100000,100000,0.349401,5,4.41445,0.309422,0.0621275,0.213997,0
15,UE,0,100000,100000,0.382435,5,4.30408,0.313263,0.0902337,0.292424,0
16,UE,0,100000,100000,0.379864,5,4.31369,0.311203,0.0890409,0.286067,0
17,UE,0,100000,100000,0.405703,5,4.22028,0.326348,0.0995898,0.353781,0
18,UE,0,100000,100000,0.374457,5,4.33244,0.309422,0.0994267,0.25871,0
19,UE,0,100000,100000,0.564242,5,3.29954,1.02513,0.126334,0.548993,0
20,UE,0,100000,100000,0.378007,5,4.3208,0.309422,0.0859256,0.283853,0
