Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,1269,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,1247,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
3,1302,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
4,1245,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,1266,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
6,1220,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,1245,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,1203,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
9,1228,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,1184,0,0,0,12.9341,22.9341,22,23,2,2,2,0,-inf,0,0,18.5419,16.3,18.7
21,1150,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
22,1180,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
23,866,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,833,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
25,1159,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,1143,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
27,1178,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
28,1149,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,1093,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
30,1151,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
