Component,Metric,Value
cache,lookup_hits,1091432
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.412843
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.14273
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,325605
cache,spectrum_channel_matrix_seconds,6.67206
cache,port_cfr_cache_hits,328316
cache,port_cfr_cache_misses,27160
cache,port_cfr_seconds,3.87884
cache,effective_gain_cache_hits,286105
cache,effective_gain_cache_misses,39500
cache,effective_gain_seconds,2.87206
cache,scaled_matrix_cache_hits,9629
cache,scaled_matrix_cache_misses,315976
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.00557871
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.0448695
python,python_export_seconds,0.0337801
python,python_initialize_seconds,2.31437
python,python_path_solve_seconds,0.0536778
python,python_perform_calculation_seconds,0.137073
phased_model,do_calc_rx_psd_calls,779040
phased_model,do_calc_rx_psd_seconds,9.90859
phased_model,effective_gain_fast_path_calls,325605
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,2.99982
