FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5564.08,0,0,0.0210723,0.0290756,0.00800334,5564.71,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5564.08,0,0,0.0210725,0.0290759,0.00800334,5564.24,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5212.68,0,0,0.0210728,0.0290761,0.00800333,5212.82,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5212.68,0,0,0.021073,0.0290763,0.00800333,5212.82,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,8,1440,UDP,UDP,1,2777,2767,10,7909.32,33,0,0.50144,4.51367,4.01223,7967.28,99.6399
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,8,1440,UDP,UDP,1,2763,2751,12,7902.8,30,0,0.522493,4.51482,3.99232,7967.29,99.5657
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,8,1440,UDP,UDP,1,2748,2746,2,7930.4,29,0,0.543545,4.51475,3.9712,7967.31,99.9272
8,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.1,300,UDP,UDP,1,165,1,164,183.572,13,0,0.544,0.557959,0.0139591,107.421,0.606061
9,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,277,277,0,52.5816,0,0,0.557959,4.50896,3.951,52.5816,100
10,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,8,1440,UDP,UDP,1,2733,2731,2,7929.26,29,0,0.564598,4.51467,3.95007,7967.32,99.9268
11,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.1,300,UDP,UDP,1,164,7,157,112.88,14,0,0.565053,0.72396,0.158907,107.425,4.26829
12,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,8,1440,UDP,UDP,1,2719,2717,2,7931.02,30,0,0.585651,4.5146,3.92895,7967.34,99.9264
13,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.1,300,UDP,UDP,1,164,5,159,115.579,14,0,0.586105,0.69696,0.110855,107.425,3.04878
14,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,8,1440,UDP,UDP,1,2704,2703,1,7932.81,21,0,0.606703,4.51453,3.90783,7967.36,99.963
15,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.1,300,UDP,UDP,1,163,0,163,0,0,0,0.607158,0,5,107.429,0
16,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,8,1440,UDP,UDP,1,2690,2687,3,7928.71,23,0,0.627756,4.51446,3.8867,7967.37,99.8885
17,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.1,300,UDP,UDP,1,162,13,149,110.059,14,0,0.628211,0.930889,0.302678,107.433,8.02469
18,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,8,1440,UDP,UDP,1,2675,2673,2,7932.55,24,0,0.648808,4.51339,3.86458,7967.39,99.9252
19,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.1,300,UDP,UDP,1,161,0,161,0,0,0,0.649263,0,5,107.437,0
20,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,8,1440,UDP,UDP,1,2660,2657,3,7926.2,24,0,0.669861,4.51439,3.84453,7967.4,99.8872
21,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.1,300,UDP,UDP,1,160,4,156,119.783,14,0,0.670316,0.755887,0.0855716,107.442,2.5
