run,exit_code,status
ns3_gnb_2x2_load_low_numUe_20_simTime_5,0,ok
ns3_gnb_2x2_load_medium_numUe_20_simTime_5,0,ok
ns3_gnb_2x2_load_high_numUe_20_simTime_5,0,ok
ns3_gnb_4x4_load_low_numUe_20_simTime_5,0,ok
ns3_gnb_4x4_load_medium_numUe_20_simTime_5,0,ok
ns3_gnb_4x4_load_high_numUe_20_simTime_5,0,ok
ns3_gnb_8x8_load_low_numUe_20_simTime_5,0,ok
ns3_gnb_8x8_load_medium_numUe_20_simTime_5,0,ok
ns3_gnb_8x8_load_high_numUe_20_simTime_5,0,ok
sionna_gnb_2x2_load_low_numUe_20_simTime_5,0,ok
sionna_gnb_2x2_load_medium_numUe_20_simTime_5,0,ok
sionna_gnb_2x2_load_high_numUe_20_simTime_5,0,ok
sionna_gnb_4x4_load_low_numUe_20_simTime_5,0,ok
sionna_gnb_4x4_load_medium_numUe_20_simTime_5,0,ok
sionna_gnb_4x4_load_high_numUe_20_simTime_5,0,ok
sionna_gnb_8x8_load_low_numUe_20_simTime_5,0,ok
sionna_gnb_8x8_load_medium_numUe_20_simTime_5,0,ok
sionna_gnb_8x8_load_high_numUe_20_simTime_5,0,ok
