NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,168.448,5,0.86948,0.956315,0.0413882,3.13282,0
1,UE,0,100000,100000,0.480921,5,3.97861,0.317489,0.164846,0.53906,0
2,UE,0,100000,100000,0.480855,5,3.97882,0.317489,0.164094,0.539595,0
3,UE,0,100000,100000,0.472272,5,4.00696,0.317489,0.164095,0.511453,0
4,UE,0,100000,100000,0.477991,5,3.98821,0.317489,0.16188,0.532417,0
5,UE,0,100000,100000,0.432358,5,4.13783,0.317489,0.15869,0.385991,0
6,UE,0,100000,100000,0.472935,5,4.00479,0.317489,0.162731,0.514989,0
7,UE,0,100000,100000,0.472144,5,4.00738,0.317489,0.167283,0.507846,0
8,UE,0,100000,100000,0.421235,5,4.1743,0.317489,0.161577,0.346635,0
9,UE,0,100000,100000,0.46322,5,4.03664,0.317489,0.19938,0.44649,0
10,UE,0,100000,100000,0.414786,5,4.19544,0.317489,0.189148,0.297922,0
11,UE,0,100000,100000,0.437825,5,4.1199,0.317489,0.306756,0.255851,0
12,UE,0,100000,100000,0.460421,5,4.04582,0.317489,0.157131,0.47956,0
13,UE,0,100000,100000,0.413541,5,4.19953,0.317489,0.0992433,0.383741,0
14,UE,0,100000,100000,0.431665,5,4.1401,0.317489,0.102849,0.439561,0
15,UE,0,100000,100000,0.464125,5,4.03367,0.317489,0.149133,0.499703,0
16,UE,0,100000,100000,0.464877,5,4.03121,0.317489,0.147633,0.503667,0
17,UE,0,100000,100000,0.4526,5,4.07146,0.317489,0.149917,0.461133,0
18,UE,0,100000,100000,0.451194,5,4.07607,0.317489,0.249341,0.357099,0
19,UE,0,100000,100000,0.467261,5,4.02339,0.317489,0.159486,0.499632,0
20,UE,0,100000,100000,0.472804,5,4.00522,0.317489,0.186695,0.490596,0
