NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,119.78,5,3.74787,0.775591,0.0233896,0.453152,0
1,UE,0,100000,100000,0.298395,5,4.60926,0.261348,0.0254627,0.103926,0
2,UE,0,100000,100000,0.300759,5,4.60151,0.261348,0.0268198,0.110319,0
3,UE,0,100000,100000,0.300628,5,4.60194,0.261348,0.0262126,0.110497,0
4,UE,0,100000,100000,0.298058,5,4.61037,0.261348,0.0257484,0.102533,0
5,UE,0,100000,100000,0.297415,5,4.61248,0.261348,0.024927,0.101248,0
6,UE,0,100000,100000,0.297295,5,4.61287,0.261348,0.0247842,0.100998,0
7,UE,0,100000,100000,0.29686,5,4.6143,0.261348,0.0246056,0.0997477,0
8,UE,0,100000,100000,0.299855,5,4.60448,0.261348,0.0254627,0.108712,0
9,UE,0,100000,100000,0.298265,5,4.60969,0.261348,0.0250699,0.10389,0
10,UE,0,100000,100000,0.299212,5,4.60658,0.261348,0.0253913,0.106676,0
11,UE,0,100000,100000,0.296271,5,4.61623,0.261348,0.0240699,0.0983549,0
12,UE,0,100000,100000,0.299005,5,4.60726,0.261348,0.0252127,0.106176,0
13,UE,0,100000,100000,0.274584,5,4.68733,0.261348,0.00842804,0.0428918,0
14,UE,0,100000,100000,0.274454,5,4.68776,0.261348,0.00835661,0.0425346,0
15,UE,0,100000,100000,0.290008,5,4.63676,0.261348,0.0183555,0.0835337,0
16,UE,0,100000,100000,0.28551,5,4.65151,0.261348,0.0168561,0.0702841,0
17,UE,0,100000,100000,0.26977,5,4.70312,0.261348,0.00510683,0.0304277,0
18,UE,0,100000,100000,0.280194,5,4.66894,0.261348,0.0134635,0.0562487,0
19,UE,0,100000,100000,0.277525,5,4.67769,0.261348,0.0118207,0.0491417,0
20,UE,0,100000,100000,0.279954,5,4.66973,0.261348,0.0126421,0.0562843,0
