Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,697,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,719,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
3,718,0,0,0,13.9958,25.0975,18,27,2,2,2,0,-inf,0,0,20.9593,11.7,22.7
4,689,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,682,0,0,0,10.5645,18.9853,4,24,1.99853,1,2,0,-inf,0,0,13.0196,-2.3,18.7
6,678,0,0,0,14.972,26.9558,18,27,2,2,2,0,-inf,0,0,22.6487,11.7,22.7
7,673,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,697,0,0,0,13.6829,24.6456,18,27,2,2,2,0,-inf,0,0,20.2353,11.7,22.7
9,686,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,695,0,0,0,13.9655,24.9957,16,27,2,2,2,0,-inf,0,0,20.9112,10.3,22.7
11,658,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
21,690,0,0,0,13.9884,25.1333,18,27,2,2,2,0,-inf,0,0,20.9251,11.7,22.7
22,234,0,0,0,14.9957,26.9915,25,27,2,2,2,0,-inf,0,0,22.6927,21,22.7
23,232,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,507,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
25,460,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,137,0,0,0,13.7299,24.708,18,26,2,2,2,0,-inf,0,0,20.3781,11.7,21
27,361,0,0,0,11.687,21.072,17,25,2,2,2,0,-inf,0,0,15.6327,11.7,21
28,315,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,338,0,0,0,13.9586,25.0444,17,27,2,2,2,0,-inf,0,0,20.8938,11.7,22.7
