FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185359,0.022538,0.0040021,11131.9,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185361,0.0225382,0.0040021,11127.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185364,0.0225384,0.00400208,10424.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185366,0.0225387,0.00400208,10424.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,8,1440,UDP,UDP,1,2777,2774,3,7935.9,16,0,0.50144,4.51035,4.00891,7967.28,99.892
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,8,1440,UDP,UDP,1,2763,2761,2,7938.56,16,0,0.522493,4.51128,3.98879,7967.29,99.9276
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,8,1440,UDP,UDP,1,2748,2698,50,7497.26,84,2,0.543545,4.67074,4.1272,7967.31,98.1805
8,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.1,300,UDP,UDP,1,165,1,164,341.955,7,0,0.544,0.551494,0.00749369,107.421,0.606061
9,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,1241,1241,0,230.953,0,0,0.551494,4.58153,4.03004,230.953,100
10,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,8,1440,UDP,UDP,1,2733,2731,2,7937.87,16,0,0.564598,4.51039,3.94579,7967.32,99.9268
11,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.1,300,UDP,UDP,1,164,132,32,84.2156,66,34,0.565053,4.58153,4.01648,107.425,80.4878
12,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,8,1440,UDP,UDP,1,2719,2707,12,7908.45,28,0,0.585651,4.51131,3.92566,7967.34,99.5587
13,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.1,300,UDP,UDP,1,164,152,12,99.4403,8,1,0.586105,4.50303,3.91692,107.425,92.6829
14,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,8,1440,UDP,UDP,1,2704,2692,12,7908.19,33,0,0.606703,4.51074,3.90404,7967.36,99.5562
15,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.1,300,UDP,UDP,1,163,4,159,133.339,5,1,0.607158,0.684029,0.0768715,107.429,2.45399
16,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,8,1440,UDP,UDP,1,2690,2687,3,7935.05,16,0,0.627756,4.51135,3.88359,7967.37,99.8885
17,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.1,300,UDP,UDP,1,162,1,161,327.727,7,0,0.628211,0.63603,0.007819,107.433,0.617284
18,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,8,1440,UDP,UDP,1,2675,2611,64,7487.95,105,2,0.648808,4.64789,3.99908,7967.39,97.6075
