Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2774,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,2788,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
3,2901,0,0,0,13.9528,25.1007,18,27,2,2,2,0,-inf,0,0,20.8309,11.7,22.7
4,2732,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,2725,0,0,0,10.0484,18.0668,4,23,1.99963,1,2,0,-inf,0,0,11.8126,-2.3,18.7
6,2713,0,0,0,14.9849,26.976,17,27,2,2,2,0,-inf,0,0,22.6734,11.7,22.7
7,2690,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,2888,0,0,0,13.919,25.0128,15,27,2,2,2,0,-inf,0,0,20.7662,10.3,22.7
9,2762,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,2689,0,0,0,13.9122,24.9305,13,27,2,2,2,0,-inf,0,0,20.783,8.1,22.7
11,2631,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
21,2941,0,0,0,14.5202,26.151,18,27,1.99966,1,2,0,-inf,0,0,21.878,11.7,22.7
22,464,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
23,464,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,4647,0,0,0,14.9791,26.9686,25,27,2,2,2,0,-inf,0,0,22.6645,21,22.7
25,4601,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,949,0,0,0,14.5701,26.2392,7,27,1.99895,1,2,0,-inf,0,0,21.965,2.4,22.7
27,3287,0,0,0,11.5376,20.8196,4,25,1.99939,1,2,0,-inf,0,0,15.2868,-2.3,21
28,3147,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,3137,0,0,0,12.313,22.2471,10,24,2,2,2,0,-inf,0,0,17.0795,4.3,18.7
