Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,4157,15,27,27,27,2,2,2
2,4135,15,27,27,27,2,2,2
3,4048,14.8906,26.8389,12,27,1.99951,1,2
4,4078,15,27,27,27,2,2,2
5,3734,13.4317,24.308,9,27,1.9992,1,2
6,4018,14.996,26.9928,15,27,2,2,2
7,3982,15,27,27,27,2,2,2
8,3834,14.8665,26.7567,9,27,1.99374,1,2
9,3927,15,27,27,27,2,2,2
10,2734,13.3248,23.9879,10,27,2,2,2
11,3876,15,27,27,27,2,2,2
21,3784,14.9107,26.8621,12,27,2,2,2
22,2746,14.9982,26.9967,18,27,2,2,2
23,2790,15,27,27,27,2,2,2
24,3740,15,27,27,27,2,2,2
25,3720,15,27,27,27,2,2,2
26,3726,14.817,26.7201,25,27,1.99973,1,2
27,3659,13.9749,25.1172,9,27,1.99836,1,2
28,3845,15,27,27,27,2,2,2
29,3819,14.9992,26.9984,25,27,2,2,2
