Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,4157,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
2,4135,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
3,4048,0,0,0,14.8906,26.8389,12,27,1.99951,1,2,0,-inf,0,0,22.5125,5.9,22.7
4,4078,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,3734,0,0,0,13.4317,24.308,9,27,1.9992,1,2,0,-inf,0,0,19.6878,4.3,22.7
6,4018,0,0,0,14.996,26.9928,15,27,2,2,2,0,-inf,0,0,22.6919,10.3,22.7
7,3982,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,3834,0,0,0,14.8665,26.7567,9,27,1.99374,1,2,0,-inf,0,0,22.428,4.3,22.7
9,3927,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,2734,0,0,0,13.3248,23.9879,10,27,2,2,2,0,-inf,0,0,19.1184,4.3,22.7
11,3876,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
21,3784,0,0,0,14.9107,26.8621,12,27,2,2,2,0,-inf,0,0,22.5465,5.9,22.7
22,2746,0,0,0,14.9982,26.9967,18,27,2,2,2,0,-inf,0,0,22.696,11.7,22.7
23,2790,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,3740,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
25,3720,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,3726,0,0,0,14.817,26.7201,25,27,1.99973,1,2,0,-inf,0,0,22.3888,21,22.7
27,3659,0,0,0,13.9749,25.1172,9,27,1.99836,1,2,0,-inf,0,0,20.8723,4.3,22.7
28,3845,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,3819,0,0,0,14.9992,26.9984,25,27,2,2,2,0,-inf,0,0,22.6987,21,22.7
