Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2774,15,27,27,27,2,2,2
2,2865,15,27,27,27,2,2,2
3,2908,14.2689,25.6338,24,27,2,2,2
4,2732,15,27,27,27,2,2,2
5,2838,13.3055,24.1543,8,26,1.99965,1,2
6,2706,14.9982,26.9967,18,27,2,2,2
7,2690,15,27,27,27,2,2,2
8,2782,14.9745,26.9594,18,27,2,2,2
9,2764,15,27,27,27,2,2,2
10,2747,14.949,26.9163,16,27,2,2,2
11,2631,15,27,27,27,2,2,2
21,2956,14.6617,26.4317,24,27,2,2,2
22,467,15,27,27,27,2,2,2
23,464,15,27,27,27,2,2,2
24,4628,15,27,27,27,2,2,2
25,4601,15,27,27,27,2,2,2
26,924,14.9675,26.9567,15,27,1.99892,1,2
27,3330,12.8168,23.1396,8,27,1.9994,1,2
28,3148,15,27,27,27,2,2,2
29,3130,14.9955,26.9914,11,27,2,2,2
