NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,292.1,5,2.00717,0.906228,0.0956949,1.99091,0
1,UE,0,100000,100000,0.416961,5,4.19388,0.307775,0.100707,0.397634,0
2,UE,0,100000,100000,0.422833,5,4.17463,0.307775,0.103886,0.413705,0
3,UE,0,100000,100000,0.422767,5,4.17485,0.307775,0.105636,0.411741,0
4,UE,0,100000,100000,0.414772,5,4.20106,0.307775,0.0993507,0.391813,0
5,UE,0,100000,100000,0.417866,5,4.19092,0.307775,0.102993,0.398313,0
6,UE,0,100000,100000,0.413552,5,4.20506,0.307775,0.0988506,0.388313,0
7,UE,0,100000,100000,0.412419,5,4.20878,0.307775,0.0977789,0.38567,0
8,UE,0,100000,100000,0.418835,5,4.18774,0.307775,0.100922,0.403562,0
9,UE,0,100000,100000,0.416992,5,4.19378,0.307775,0.101131,0.397312,0
10,UE,0,100000,100000,0.416275,5,4.19614,0.307775,0.0998137,0.396277,0
11,UE,0,100000,100000,0.409249,5,4.21917,0.307775,0.0958485,0.377206,0
12,UE,0,100000,100000,0.421046,5,4.18049,0.307775,0.107421,0.404312,0
13,UE,0,100000,100000,0.294845,5,4.59426,0.307775,0.0167489,0.0812123,0
14,UE,0,100000,100000,0.294628,5,4.59498,0.307775,0.0166418,0.0806052,0
15,UE,0,100000,100000,0.485791,5,3.96821,0.307775,0.166488,0.557522,0
16,UE,0,100000,100000,0.477197,5,3.99639,0.307775,0.165382,0.530453,0
17,UE,0,100000,100000,0.317219,5,4.52091,0.307775,0.0334265,0.13789,0
18,UE,0,100000,100000,0.446099,5,4.09835,0.307775,0.120742,0.473132,0
19,UE,0,100000,100000,0.437872,5,4.1251,0.308167,0.114171,0.452561,0
20,UE,0,100000,100000,0.43761,5,4.12596,0.308167,0.113493,0.452383,0
