Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,697,15,27,27,27,2,2,2
2,718,15,27,27,27,2,2,2
3,715,15,27,27,27,2,2,2
4,689,15,27,27,27,2,2,2
5,682,14.8035,26.6906,13,27,1.99853,1,2
6,678,15,27,27,27,2,2,2
7,673,15,27,27,27,2,2,2
8,705,15,27,27,27,2,2,2
9,686,15,27,27,27,2,2,2
10,695,14.9827,26.977,25,27,2,2,2
11,658,15,27,27,27,2,2,2
21,686,14.9985,26.9971,25,27,2,2,2
22,233,15,27,27,27,2,2,2
23,232,15,27,27,27,2,2,2
24,509,15,27,27,27,2,2,2
25,460,15,27,27,27,2,2,2
26,138,14.9783,26.9638,25,27,2,2,2
27,388,14.6598,26.4459,24,27,2,2,2
28,315,15,27,27,27,2,2,2
29,331,15,27,27,27,2,2,2
