FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185359,0.022538,0.0040021,11131.9,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185361,0.0225382,0.0040021,11127.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185364,0.0225384,0.00400208,10424.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185366,0.0225387,0.00400208,10424.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,25,1440,UDP,UDP,1,8680,8676,4,24805.3,18,0,0.500461,4.51181,4.01135,24891.6,99.9539
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,25,1440,UDP,UDP,1,8634,5545,3089,14200.4,1272,0,0.521513,4.99985,4.47834,24891.7,64.2228
7,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.3125,300,UDP,UDP,1,518,2,516,333.889,7,0,0.52768,0.543029,0.0153494,334.303,0.3861
8,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,253,253,0,220.137,0,0,0.535529,1.39749,0.861964,220.137,100
9,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,25,1440,UDP,UDP,1,8589,8581,8,24790.4,17,0,0.542566,4.51239,3.96982,24891.7,99.9069
10,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.3125,300,UDP,UDP,1,515,0,515,0,0,0,0.548733,0,5,334.307,0
11,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,25,1440,UDP,UDP,1,8543,8529,14,24774.9,19,0,0.563619,4.51185,3.94823,24891.7,99.8361
12,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.3125,300,UDP,UDP,1,512,7,505,333.756,7,0,0.569785,0.62353,0.0537443,334.311,1.36719
13,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,25,1440,UDP,UDP,1,8497,8435,62,24633,54,0,0.584671,4.51189,3.92721,24891.7,99.2703
14,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.3125,300,UDP,UDP,1,510,5,505,335.481,7,0,0.590838,0.629029,0.0381915,334.314,0.980392
15,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,25,1440,UDP,UDP,1,8452,8352,100,23990.8,144,0,0.605724,4.59839,3.99266,24891.7,98.8168
16,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.3125,300,UDP,UDP,1,507,0,507,0,0,0,0.611891,0,5,334.317,0
17,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,25,1440,UDP,UDP,1,8406,8172,234,23582.7,112,0,0.626777,4.60099,3.97422,24891.7,97.2163
18,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.3125,300,UDP,UDP,1,504,1,503,361.619,7,0,0.632943,0.640029,0.00708619,334.321,0.198413
