SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,97307,2,2,261,0.529696,0.129284,0.966842,-2.75974,-8.88455,-0.146445
0,2,97307,2,2,261,0.0951986,0.0392083,0.168201,-10.2137,-14.0662,-7.7417
0,3,97307,2,2,261,0.56191,0.193526,1.03033,-2.50333,-7.13261,0.129759
0,4,97307,2,2,261,1.3493,0.407343,1.98676,1.3011,-3.9004,2.98146
0,5,97307,2,2,261,0.78574,0.235215,1.31145,-1.04721,-6.28535,1.17752
0,6,97307,2,2,261,0.488913,0.144542,0.864156,-3.10769,-8.40005,-0.634081
0,7,97307,2,2,261,0.692689,0.118037,1.23778,-1.59462,-9.27981,0.92645
0,8,97307,2,2,261,0.283145,0.113435,0.443531,-5.47992,-9.45251,-3.53076
0,9,97307,2,2,261,0.291309,0.0754969,0.437918,-5.35647,-11.2207,-3.58607
0,10,97307,2,2,261,0.0334808,0.011506,0.0511276,-14.752,-19.3907,-12.9134
0,11,97307,2,2,261,0.119354,0.0308952,0.192652,-9.23164,-15.1011,-7.15227
0,12,97307,2,2,261,0.120795,0.041691,0.180114,-9.1795,-13.7996,-7.44453
0,13,97307,2,2,261,0.640771,0.201466,0.934495,-1.93297,-6.95798,-0.294231
0,14,97307,2,2,261,0.497351,0.180772,0.802378,-3.03337,-7.42869,-0.956209
0,15,97307,2,2,261,0.334346,0.0857286,0.510932,-4.75804,-10.6687,-2.91637
0,16,97307,2,2,261,0.478917,0.120513,0.729701,-3.1974,-9.18966,-1.36855
0,17,97307,2,2,261,0.671107,0.165328,1.03807,-1.73208,-7.81654,0.162258
0,18,97307,2,2,261,0.739797,0.195129,1.09241,-1.30887,-7.09678,0.383871
0,19,97307,2,2,261,0.821963,0.165215,1.36367,-0.851475,-7.8195,1.34708
0,20,97307,2,2,261,0.35505,0.0849616,0.543571,-4.4971,-10.7078,-2.64744
1,0,7819,2,2,261,0.925028,0.167188,1.29917,-0.338452,-7.76795,1.13665
2,0,8699,2,2,261,0.135693,0.0389511,0.171414,-8.67441,-14.0948,-7.65953
3,0,7816,2,2,261,0.728265,0.254058,0.958896,-1.37711,-5.95067,-0.182287
4,0,7756,2,2,261,2.36304,0.699508,2.8042,3.7347,-1.55207,4.47809
5,0,7690,2,2,261,1.07013,0.286782,1.31475,0.294368,-5.42448,1.18843
6,0,7836,2,2,261,0.367534,0.078077,0.464111,-4.34703,-11.0748,-3.33378
7,0,7581,2,2,261,0.733245,0.121583,1.02902,-1.34751,-9.15128,0.124247
8,0,7366,2,2,261,0.379661,0.117434,0.449372,-4.20604,-9.30206,-3.47394
9,0,8011,2,2,261,0.277453,0.0694469,0.3245,-5.56811,-11.5835,-4.88786
10,0,7113,2,2,261,0.0436309,0.0129177,0.0512484,-13.6021,-18.8882,-12.9032
11,0,5556,2,2,261,0.133492,0.0258098,0.164851,-8.74546,-15.8821,-7.82908
12,0,8059,2,2,261,0.160787,0.0426862,0.191683,-7.93748,-13.6971,-7.17417
13,0,5630,2,2,261,0.773711,0.23014,0.930003,-1.11421,-6.38009,-0.315156
14,0,5789,2,2,261,0.604873,0.184542,0.724058,-2.18335,-7.33905,-1.40227
15,0,7354,2,2,261,0.406954,0.0969102,0.499848,-3.90455,-10.1363,-3.01162
16,0,7313,2,2,261,0.574542,0.138047,0.703892,-2.40678,-8.59972,-1.52494
17,0,7306,2,2,261,0.817475,0.165271,1.02136,-0.875256,-7.81803,0.0917817
18,0,8235,2,2,261,0.902806,0.216278,1.09646,-0.444058,-6.64989,0.39994
19,0,7584,2,2,261,0.967085,0.16166,1.29318,-0.145355,-7.91399,1.11657
20,0,8172,2,2,261,0.407707,0.100619,0.499436,-3.89651,-9.97321,-3.0152
