Component,Metric,Value
cache,lookup_hits,8379299
cache,lookup_misses,1
cache,refresh_calls,1
cache,refresh_seconds,0.383386
cache,sionna_calculation_calls,1
cache,sionna_calculation_seconds,0.0806648
cache,pybind_conversion_records,20
cache,spectrum_channel_matrix_calls,2094825
cache,spectrum_channel_matrix_seconds,7.22082
cache,port_cfr_cache_hits,2093490
cache,port_cfr_cache_misses,33426
cache,port_cfr_seconds,0.64517
cache,effective_gain_cache_hits,2054879
cache,effective_gain_cache_misses,39946
cache,effective_gain_seconds,4.96455
cache,scaled_matrix_cache_hits,7855
cache,scaled_matrix_cache_misses,2086970
python,cpp_pybind_conversion_records,20
python,cpp_pybind_conversion_seconds,0.000508336
python,propagation_calculation_calls,1
python,propagation_calculation_receiver_count,20
python,python_cfr_seconds,0.00619915
python,python_export_seconds,0.0116886
python,python_initialize_seconds,2.43638
python,python_path_solve_seconds,0.0568957
python,python_perform_calculation_seconds,0.0801157
phased_model,do_calc_rx_psd_calls,4919840
phased_model,do_calc_rx_psd_seconds,16.0007
phased_model,effective_gain_fast_path_calls,2094825
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,6.60679
