SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,18030,2,2,261,0.401169,0.129284,0.92884,-3.96672,-8.88454,-0.320592
0,2,18030,2,2,261,0.0780449,0.0392083,0.163872,-11.0766,-14.0662,-7.85496
0,3,18030,2,2,261,0.461605,0.193526,1.03033,-3.35729,-7.13261,0.129766
0,4,18030,2,2,261,1.04122,0.407343,1.87867,0.175438,-3.9004,2.73851
0,5,18030,2,2,261,0.634056,0.23523,1.28947,-1.97872,-6.28507,1.10412
0,6,18030,2,2,261,0.381668,0.144542,0.849035,-4.18314,-8.40005,-0.710743
0,7,18030,2,2,261,0.510256,0.118038,1.13748,-2.92212,-9.27978,0.559419
0,8,18030,2,2,261,0.229232,0.113435,0.438161,-6.39725,-9.45251,-3.58367
0,9,18030,2,2,261,0.221834,0.0754931,0.414774,-6.53973,-11.2209,-3.82189
0,10,18030,2,2,261,0.0269884,0.011506,0.0506715,-15.6882,-19.3907,-12.9524
0,11,18030,2,2,261,0.0905922,0.0308952,0.190369,-10.4291,-15.1011,-7.20404
0,12,18030,2,2,261,0.0957687,0.041691,0.178161,-10.1878,-13.7996,-7.49187
0,13,18030,2,2,261,0.505024,0.201466,0.934495,-2.96688,-6.95798,-0.294231
0,14,18030,2,2,261,0.400977,0.180778,0.802411,-3.96881,-7.42854,-0.956029
0,15,18030,2,2,261,0.256473,0.0857286,0.510932,-5.90959,-10.6687,-2.91637
0,16,18030,2,2,261,0.366774,0.120513,0.721781,-4.35602,-9.18966,-1.41594
0,17,18030,2,2,261,0.506753,0.165328,1.02199,-2.95204,-7.81654,0.0944674
0,18,18030,2,2,261,0.566597,0.195129,1.09068,-2.46726,-7.09678,0.376981
0,19,18030,2,2,261,0.6152,0.165215,1.33467,-2.10984,-7.8195,1.25374
0,20,18030,2,2,261,0.269768,0.0849541,0.528476,-5.69009,-10.7082,-2.76974
1,0,1516,2,2,261,0.80915,0.16719,1.26015,-0.919707,-7.76789,1.00423
2,0,1522,2,2,261,0.120281,0.0389511,0.170625,-9.19802,-14.0948,-7.67959
3,0,1699,2,2,261,0.608024,0.18659,0.958896,-2.16079,-7.29111,-0.182287
4,0,1522,2,2,261,1.98309,0.699508,2.78326,2.97342,-1.55207,4.44553
5,0,1663,2,2,261,0.882751,0.286783,1.31475,-0.541619,-5.42447,1.18844
6,0,1479,2,2,261,0.294707,0.078077,0.453468,-5.3061,-11.0748,-3.43454
7,0,1470,2,2,261,0.548757,0.121583,1.00907,-2.6062,-9.15128,0.0392001
8,0,1631,2,2,261,0.293463,0.111524,0.449372,-5.32446,-9.5263,-3.47394
9,0,1579,2,2,261,0.214545,0.0677182,0.324499,-6.68481,-11.6929,-4.88786
10,0,1445,2,2,261,0.0335126,0.0129177,0.0512484,-14.7479,-18.8882,-12.9032
11,0,1824,2,2,261,0.10012,0.0258098,0.162415,-9.99478,-15.8821,-7.89374
12,0,1436,2,2,261,0.11552,0.0426862,0.188583,-9.37342,-13.6971,-7.24497
13,0,683,2,2,261,0.613987,0.204354,0.924722,-2.11841,-6.89616,-0.339887
14,0,682,2,2,261,0.485231,0.166831,0.717621,-3.14052,-7.77723,-1.44105
15,0,1482,2,2,261,0.347824,0.0853474,0.499848,-4.5864,-10.6881,-3.01162
16,0,1046,2,2,261,0.473759,0.120516,0.703892,-3.24443,-9.18957,-1.52494
17,0,309,2,2,261,0.603149,0.165271,1.01344,-2.19575,-7.81803,0.0579773
18,0,753,2,2,261,0.636573,0.198834,1.09197,-1.96151,-7.01509,0.382121
19,0,858,2,2,261,0.709879,0.16166,1.27271,-1.48816,-7.91399,1.04729
20,0,749,2,2,261,0.336554,0.0870459,0.499443,-4.72946,-10.6025,-3.01514
