Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,697,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
2,693,0,0,0,5,7,7,7,2,2,2,0,-inf,0,0,2.4,2.4,2.4
3,729,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
4,692,0,0,0,14,25,25,25,2,2,2,0,-inf,0,0,21,21,21
5,720,0,0,0,13,24,24,24,2,2,2,0,-inf,0,0,18.7,18.7,18.7
6,679,0,0,0,9,16,16,16,2,2,2,0,-inf,0,0,10.3,10.3,10.3
7,675,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,706,0,0,0,14,25,25,25,2,2,2,0,-inf,0,0,21,21,21
9,686,0,0,0,7,12,12,12,2,2,2,0,-inf,0,0,5.9,5.9,5.9
10,662,0,0,0,4,5.55287,5,6,1,1,1,0,-inf,0,0,0.2,0.2,0.2
11,661,0,0,0,3.10136,3.20272,3,5,1.89864,1,2,0,-inf,0,0,-2.0466,-2.3,0.2
21,659,0,0,0,9.42944,16.4294,16,17,2,2,2,0,-inf,0,0,10.9012,10.3,11.7
22,233,0,0,0,13,24,24,24,2,2,2,0,-inf,0,0,18.7,18.7,18.7
23,232,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
24,470,0,0,0,9,15,15,15,2,2,2,0,-inf,0,0,10.3,10.3,10.3
25,460,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,91,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
27,317,0,0,0,9,16,16,16,2,2,2,0,-inf,0,0,10.3,10.3,10.3
28,337,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,313,0,0,0,9,16,16,16,2,2,2,0,-inf,0,0,10.3,10.3,10.3
