UeIndex,UeNodeId,Distance_m,HorizontalDistance_m,Azimuth_deg,Elevation_deg,FreeSpacePathloss_dB,EstimatedRxPower_dBm
0,1,71.7533,67.796,104.474,-19.1178,80.4482,-34.4482
1,2,102.106,99.3647,92.4771,-13.3061,83.5124,-37.5124
2,3,124.693,122.459,113.027,-10.8631,85.2482,-39.2482
3,4,61.2234,56.5337,115.804,-22.5717,79.0697,-33.0697
4,5,108.536,105.961,113.445,-12.5047,84.0428,-38.0428
5,6,56.3682,51.2359,86.1224,-24.6392,78.352,-32.352
6,7,62.6147,58.0375,75.4433,-22.0435,79.2649,-33.2649
7,8,144.994,143.077,108.217,-9.32737,86.5584,-40.5584
8,9,71.0204,67.0198,80.195,-19.3228,80.359,-34.359
9,10,144.325,142.399,90.8814,-9.371,86.5182,-40.5182
10,11,132.014,129.906,79.0308,-10.2539,85.7438,-39.7438
11,12,149.792,147.937,102.01,-9.0261,86.8411,-40.8411
12,13,99.2343,96.4116,65.4805,-13.6985,83.2646,-37.2646
13,14,150.685,148.841,112.446,-8.97215,86.8928,-40.8928
14,15,148.842,146.975,68.9298,-9.08417,86.7859,-40.7859
15,16,75.5979,71.8525,72.3875,-18.1108,80.9016,-34.9016
16,17,131.052,128.928,65.1641,-10.3301,85.6802,-39.6802
17,18,148.787,146.92,62.8472,-9.08755,86.7827,-40.7827
18,19,64.8829,60.4777,71.6155,-21.2348,79.574,-33.574
19,20,102.887,100.168,74.0134,-13.2032,83.5786,-37.5786
