NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,156.832,5,1.50509,0.914503,0.102255,2.47815,0
1,UE,0,100000,100000,0.416673,5,4.19513,0.306989,0.100672,0.397205,0
2,UE,0,100000,100000,0.446257,5,4.09813,0.306989,0.198456,0.39642,0
3,UE,0,100000,100000,0.424025,5,4.17103,0.306989,0.103743,0.41824,0
4,UE,0,100000,100000,0.414113,5,4.20353,0.306989,0.0993507,0.390134,0
5,UE,0,100000,100000,0.413677,5,4.20496,0.306989,0.0987431,0.389313,0
6,UE,0,100000,100000,0.413242,5,4.20638,0.306989,0.0983147,0.388313,0
7,UE,0,100000,100000,0.420103,5,4.18389,0.306989,0.101706,0.407419,0
8,UE,0,100000,100000,0.418207,5,4.1901,0.306989,0.101275,0.401633,0
9,UE,0,100000,100000,0.410518,5,4.21531,0.306989,0.0975984,0.380099,0
10,UE,0,100000,100000,0.464614,5,4.03815,0.306989,0.321257,0.3336,0
11,UE,0,100000,100000,0.470115,5,4.01991,0.306989,0.31857,0.354528,0
12,UE,0,100000,100000,0.436116,5,4.13139,0.306989,0.132027,0.429598,0
13,UE,0,100000,100000,0.294709,5,4.59501,0.306989,0.0168204,0.0811766,0
14,UE,0,100000,100000,0.29423,5,4.59659,0.306989,0.0164632,0.0799623,0
15,UE,0,100000,100000,0.479403,5,3.98946,0.306989,0.166204,0.537345,0
16,UE,0,100000,100000,0.476832,5,3.99789,0.306989,0.165061,0.53006,0
17,UE,0,100000,100000,0.314142,5,4.5313,0.306989,0.0328908,0.128819,0
18,UE,0,100000,100000,0.438708,5,4.12289,0.306989,0.114742,0.455383,0
19,UE,0,100000,100000,0.454688,5,4.07049,0.306989,0.117243,0.505274,0
20,UE,0,100000,100000,0.436563,5,4.12992,0.306989,0.113279,0.449811,0
