Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2773,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
2,2773,0,0,0,5,7,7,7,2,2,2,0,-inf,0,0,2.4,2.4,2.4
3,2853,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
4,2731,0,0,0,14,25,25,25,2,2,2,0,-inf,0,0,21,21,21
5,2715,0,0,0,13,24,24,24,2,2,2,0,-inf,0,0,18.7,18.7,18.7
6,2701,0,0,0,9,16,16,16,2,2,2,0,-inf,0,0,10.3,10.3,10.3
7,2793,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,2778,0,0,0,14,25,25,25,2,2,2,0,-inf,0,0,21,21,21
9,2664,0,0,0,7,11.9835,11,12,2,2,2,0,-inf,0,0,5.9,5.9,5.9
10,3202,0,0,0,3.99625,5.4975,2,6,1.00187,1,2,0,-inf,0,0,0.190818,-4.7,0.2
11,3148,0,0,0,3.13882,3.27764,3,5,1.86118,1,2,0,-inf,0,0,-1.95295,-2.3,0.2
21,3645,0,0,0,9.58848,16.5885,16,17,2,2,2,0,-inf,0,0,11.1239,10.3,11.7
22,467,0,0,0,13,24,24,24,2,2,2,0,-inf,0,0,18.7,18.7,18.7
23,459,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
24,4625,0,0,0,9,15,15,15,2,2,2,0,-inf,0,0,10.3,10.3,10.3
25,4598,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,915,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
27,3164,0,0,0,9,16,16,16,2,2,2,0,-inf,0,0,10.3,10.3,10.3
28,3228,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,3128,0,0,0,9,16,16,16,2,2,2,0,-inf,0,0,10.3,10.3,10.3
