NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,391.885,5,0.562764,1.03465,0.0245677,3.37802,0
1,UE,0,100000,100000,0.486981,5,3.95068,0.331667,0.164239,0.553416,0
2,UE,0,100000,100000,0.49845,5,3.91307,0.331667,0.188594,0.566666,0
3,UE,0,100000,100000,0.485238,5,3.95639,0.331667,0.161417,0.550524,0
4,UE,0,100000,100000,0.4849,5,3.9575,0.331667,0.160918,0.549916,0
5,UE,0,100000,100000,0.48223,5,3.96625,0.331667,0.159521,0.542559,0
6,UE,0,100000,100000,0.481489,5,3.96868,0.331667,0.160662,0.538988,0
7,UE,0,100000,100000,0.47937,5,3.97563,0.331667,0.165215,0.527488,0
8,UE,0,100000,100000,0.474137,5,3.99279,0.331667,0.176948,0.498596,0
9,UE,0,100000,100000,0.468025,5,4.01283,0.331667,0.204194,0.451311,0
10,UE,0,100000,100000,0.499069,5,3.91111,0.331667,0.340871,0.416348,0
11,UE,0,100000,100000,0.472072,5,3.99963,0.331667,0.415533,0.253173,0
12,UE,0,100000,100000,0.475794,5,3.98736,0.331667,0.151669,0.52931,0
13,UE,0,100000,100000,0.421212,5,4.16631,0.331667,0.103136,0.398884,0
14,UE,0,100000,100000,0.420754,5,4.16781,0.331667,0.102742,0.397777,0
15,UE,0,100000,100000,0.472722,5,3.99743,0.331667,0.148776,0.522131,0
16,UE,0,100000,100000,0.470402,5,4.00503,0.331667,0.146455,0.516846,0
17,UE,0,100000,100000,0.470174,5,4.00578,0.331667,0.145348,0.517203,0
18,UE,0,100000,100000,0.521112,5,3.83843,0.33238,0.237416,0.591773,0
19,UE,0,100000,100000,0.476437,5,3.98525,0.331667,0.157847,0.525238,0
20,UE,0,100000,100000,0.507601,5,3.88307,0.331667,0.214846,0.570416,0
