Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,697,13.924,24.924,24,25,2,2,2
2,699,8.93562,15.1159,12,22,2,2,2
3,729,14,25.251,25,26,2,2,2
4,688,15,27,27,27,2,2,2
5,720,14.2833,25.5667,25,27,2,2,2
6,679,10,18,18,18,2,2,2
7,675,15,27,27,27,2,2,2
8,706,15,27,27,27,2,2,2
9,685,10,17.2818,17,18,2,2,2
10,662,4.29154,6.29154,6,7,2,2,2
11,659,5.29287,8.24431,7,9,2,2,2
21,656,11.471,20.6479,18,27,2,2,2
22,233,14.6996,26.3991,25,27,2,2,2
23,232,14.3017,25.6034,25,27,2,2,2
24,509,11.2024,20.1041,18,25,2,2,2
25,460,15,27,27,27,2,2,2
26,93,12.6129,23.2258,18,24,2,2,2
27,319,11.3793,20.7586,18,22,2,2,2
28,337,15,27,27,27,2,2,2
29,335,10.9224,19.5373,18,23,2,2,2
