FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185359,0.022538,0.0040021,11131.9,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185361,0.0225382,0.0040021,11127.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185364,0.0225384,0.00400208,10424.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185366,0.0225387,0.00400208,10424.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,2,1440,UDP,UDP,1,694,693,1,1985.52,12,0,0.50576,4.50867,4.00291,1993.97,99.8559
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,2,1440,UDP,UDP,1,690,594,96,1711.73,43,4,0.526813,4.50667,3.97986,1993.99,86.087
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,2,1440,UDP,UDP,1,687,686,1,1985.35,12,0,0.547865,4.51067,3.96281,1994,99.8544
8,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,2,1440,UDP,UDP,1,683,679,4,1976.57,17,1,0.568918,4.50871,3.93979,1994.02,99.4143
9,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,2,1440,UDP,UDP,1,679,678,1,1985.28,12,0,0.589971,4.50671,3.91674,1994.04,99.8527
10,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,2,1440,UDP,UDP,1,676,675,1,1985.14,12,0,0.611023,4.51071,3.89968,1994.05,99.8521
11,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.025,300,UDP,UDP,1,41,3,38,38.6249,7,0,0.616,0.815029,0.199029,27.3592,7.31707
12,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,334,334,0,64.5203,0,0,0.623529,4.50603,3.8825,64.5203,100
13,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,2,1440,UDP,UDP,1,672,671,1,1985.09,12,0,0.632076,4.50874,3.87667,1994.07,99.8512
14,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.025,300,UDP,UDP,1,41,0,41,0,0,0,0.637053,0,5,27.3592,0
15,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,2,1440,UDP,UDP,1,668,667,1,1985.06,12,0,0.653128,4.50674,3.85361,1994.09,99.8503
16,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.025,300,UDP,UDP,1,41,41,0,27.3037,7,0,0.658105,4.50603,3.84792,27.3592,100
17,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,2,1440,UDP,UDP,1,665,642,23,1919.4,52,5,0.674181,4.51024,3.83606,1994.1,96.5414
18,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.025,300,UDP,UDP,1,40,4,36,34.585,7,0,0.679158,0.975529,0.296371,27.3763,10
