Timestamp_ns,Loss_dB,TxAntGain_dB,RxAntGain_dB,PropGain_dB,Pathloss_dB,Delay_ns,SrcId,SrcX,SrcY,SrcZ,DstId,DstX,DstY,DstZ
188,103.744,0,0,-103.744,103.744,188,0,0,0,25,6,3.46482,51.1186,1.5
204,88.822,0,0,-88.822,88.822,204,0,0,0,25,4,-24.6086,50.8967,1.5
209,90.9865,0,0,-90.9865,90.9865,209,0,0,0,25,7,14.5871,56.1745,1.5
216,87.5961,0,0,-87.5961,87.5961,216,0,0,0,25,19,19.0742,57.391,1.5
237,108.293,0,0,-108.293,108.293,237,0,0,0,25,9,11.4131,66.0409,1.5
239,97.2441,0,0,-97.2441,97.2441,239,0,0,0,25,1,-16.9447,65.6443,1.5
252,90.4917,0,0,-90.4917,90.4917,252,0,0,0,25,16,21.7409,68.4844,1.5
331,98.3576,0,0,-98.3576,98.3576,331,0,0,0,25,13,40.0111,87.7171,1.5
343,104.86,0,0,-104.86,104.86,343,0,0,0,25,20,27.5875,96.2938,1.5
362,96.9377,0,0,-96.9377,96.9377,362,0,0,0,25,5,-42.1578,97.2134,1.5
379,111.252,0,0,-111.252,111.252,379,0,0,0,25,2,-4.29448,99.2718,1.5
416,99.102,0,0,-99.102,99.102,416,0,0,0,25,3,-47.9011,112.702,1.5
437,105.368,0,0,-105.368,105.368,437,0,0,0,25,17,54.1521,117.004,1.5
440,119.932,0,0,-119.932,119.932,440,0,0,0,25,11,24.7186,127.532,1.5
484,98.1834,0,0,-98.1834,98.1834,484,0,0,0,25,8,-44.7277,135.906,1.5
496,107.98,0,0,-107.98,107.98,496,0,0,0,25,15,52.8393,137.149,1.5
496,108.103,0,0,-108.103,108.103,496,0,0,0,25,18,67.049,130.728,1.5
500,98.6338,0,0,-98.6338,98.6338,500,0,0,0,25,12,-30.7834,144.699,1.5
503,99.743,0,0,-99.743,99.743,503,0,0,0,25,14,-56.8284,137.566,1.5
517,112.496,0,0,-112.496,112.496,517,0,0,0,25,10,-2.19058,142.382,1.5
16928756,103.744,0,0,-103.744,103.744,188,6,3.46482,51.1186,1.5,0,0,0,25
16928772,88.822,0,0,-88.822,88.822,204,4,-24.6086,50.8967,1.5,0,0,0,25
16928777,90.9865,0,0,-90.9865,90.9865,209,7,14.5871,56.1745,1.5,0,0,0,25
16928784,87.5961,0,0,-87.5961,87.5961,216,19,19.0742,57.391,1.5,0,0,0,25
16928805,108.293,0,0,-108.293,108.293,237,9,11.4131,66.0409,1.5,0,0,0,25
16928807,97.2441,0,0,-97.2441,97.2441,239,1,-16.9447,65.6443,1.5,0,0,0,25
16928820,90.4917,0,0,-90.4917,90.4917,252,16,21.7409,68.4844,1.5,0,0,0,25
16928899,98.3576,0,0,-98.3576,98.3576,331,13,40.0111,87.7171,1.5,0,0,0,25
16928911,104.86,0,0,-104.86,104.86,343,20,27.5875,96.2938,1.5,0,0,0,25
16928930,96.9377,0,0,-96.9377,96.9377,362,5,-42.1578,97.2134,1.5,0,0,0,25
16928947,111.252,0,0,-111.252,111.252,379,2,-4.29448,99.2718,1.5,0,0,0,25
16928984,99.102,0,0,-99.102,99.102,416,3,-47.9011,112.702,1.5,0,0,0,25
16929005,105.368,0,0,-105.368,105.368,437,17,54.1521,117.004,1.5,0,0,0,25
16929008,119.932,0,0,-119.932,119.932,440,11,24.7186,127.532,1.5,0,0,0,25
16929052,98.1834,0,0,-98.1834,98.1834,484,8,-44.7277,135.906,1.5,0,0,0,25
16929064,107.98,0,0,-107.98,107.98,496,15,52.8393,137.149,1.5,0,0,0,25
16929064,108.103,0,0,-108.103,108.103,496,18,67.049,130.728,1.5,0,0,0,25
16929068,98.6338,0,0,-98.6338,98.6338,500,12,-30.7834,144.699,1.5,0,0,0,25
16929071,99.743,0,0,-99.743,99.743,503,14,-56.8284,137.566,1.5,0,0,0,25
16929085,112.496,0,0,-112.496,112.496,517,10,-2.19058,142.382,1.5,0,0,0,25
50000188,103.744,0,0,-103.744,103.744,188,0,0,0,25,6,3.46482,51.1186,1.5
50000204,88.822,0,0,-88.822,88.822,204,0,0,0,25,4,-24.6086,50.8967,1.5
50000209,90.9865,0,0,-90.9865,90.9865,209,0,0,0,25,7,14.5871,56.1745,1.5
50000216,87.5961,0,0,-87.5961,87.5961,216,0,0,0,25,19,19.0742,57.391,1.5
50000237,108.293,0,0,-108.293,108.293,237,0,0,0,25,9,11.4131,66.0409,1.5
50000239,97.2441,0,0,-97.2441,97.2441,239,0,0,0,25,1,-16.9447,65.6443,1.5
50000252,90.4917,0,0,-90.4917,90.4917,252,0,0,0,25,16,21.7409,68.4844,1.5
50000331,98.3576,0,0,-98.3576,98.3576,331,0,0,0,25,13,40.0111,87.7171,1.5
50000343,104.86,0,0,-104.86,104.86,343,0,0,0,25,20,27.5875,96.2938,1.5
50000362,96.9377,0,0,-96.9377,96.9377,362,0,0,0,25,5,-42.1578,97.2134,1.5
50000379,111.252,0,0,-111.252,111.252,379,0,0,0,25,2,-4.29448,99.2718,1.5
50000416,99.102,0,0,-99.102,99.102,416,0,0,0,25,3,-47.9011,112.702,1.5
50000437,105.368,0,0,-105.368,105.368,437,0,0,0,25,17,54.1521,117.004,1.5
50000440,119.932,0,0,-119.932,119.932,440,0,0,0,25,11,24.7186,127.532,1.5
50000484,98.1834,0,0,-98.1834,98.1834,484,0,0,0,25,8,-44.7277,135.906,1.5
50000496,107.98,0,0,-107.98,107.98,496,0,0,0,25,15,52.8393,137.149,1.5
50000496,108.103,0,0,-108.103,108.103,496,0,0,0,25,18,67.049,130.728,1.5
50000500,98.6338,0,0,-98.6338,98.6338,500,0,0,0,25,12,-30.7834,144.699,1.5
50000503,99.743,0,0,-99.743,99.743,503,0,0,0,25,14,-56.8284,137.566,1.5
50000517,112.496,0,0,-112.496,112.496,517,0,0,0,25,10,-2.19058,142.382,1.5
70893270,99.102,0,0,-99.102,99.102,416,3,-47.9011,112.702,1.5,0,0,0,25
71393091,108.293,0,0,-108.293,108.293,237,9,11.4131,66.0409,1.5,0,0,0,25
74893354,98.6338,0,0,-98.6338,98.6338,500,12,-30.7834,144.699,1.5,0,0,0,25
77393291,105.368,0,0,-105.368,105.368,437,17,54.1521,117.004,1.5,0,0,0,25
79393371,112.496,0,0,-112.496,112.496,517,10,-2.19058,142.382,1.5,0,0,0,25
82393106,90.4917,0,0,-90.4917,90.4917,252,16,21.7409,68.4844,1.5,0,0,0,25
83893063,90.9865,0,0,-90.9865,90.9865,209,7,14.5871,56.1745,1.5,0,0,0,25
84893093,97.2441,0,0,-97.2441,97.2441,239,1,-16.9447,65.6443,1.5,0,0,0,25
85393216,96.9377,0,0,-96.9377,96.9377,362,5,-42.1578,97.2134,1.5,0,0,0,25
86393185,98.3576,0,0,-98.3576,98.3576,331,13,40.0111,87.7171,1.5,0,0,0,25
87393338,98.1834,0,0,-98.1834,98.1834,484,8,-44.7277,135.906,1.5,0,0,0,25
88393070,87.5961,0,0,-87.5961,87.5961,216,19,19.0742,57.391,1.5,0,0,0,25
91893058,88.822,0,0,-88.822,88.822,204,4,-24.6086,50.8967,1.5,0,0,0,25
93393350,108.103,0,0,-108.103,108.103,496,18,67.049,130.728,1.5,0,0,0,25
95893233,111.252,0,0,-111.252,111.252,379,2,-4.29448,99.2718,1.5,0,0,0,25
98393294,119.932,0,0,-119.932,119.932,440,11,24.7186,127.532,1.5,0,0,0,25
100000188,103.744,0,0,-103.744,103.744,188,0,0,0,25,6,3.47334,50.9689,1.5
100000204,88.822,0,0,-88.822,88.822,204,0,0,0,25,4,-24.6902,51.0225,1.5
100000209,90.9865,0,0,-90.9865,90.9865,209,0,0,0,25,7,14.6654,56.0465,1.5
100000216,87.5961,0,0,-87.5961,87.5961,216,0,0,0,25,19,19.1847,57.2895,1.5
100000237,108.293,0,0,-108.293,108.293,237,0,0,0,25,9,11.3221,65.9216,1.5
100000239,97.2441,0,0,-97.2441,97.2441,239,0,0,0,25,1,-17.0426,65.5307,1.5
100000252,90.4917,0,0,-90.4917,90.4917,252,0,0,0,25,16,21.6154,68.4024,1.5
100000331,98.3576,0,0,-98.3576,98.3576,331,0,0,0,25,13,39.9241,87.595,1.5
