FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185359,0.022538,0.0040021,11131.9,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185361,0.0225382,0.0040021,11127.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185364,0.0225384,0.00400208,10424.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185366,0.0225387,0.00400208,10424.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,8,1440,UDP,UDP,1,2777,2774,3,7935.9,16,0,0.50144,4.51035,4.00891,7967.28,99.892
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,8,1440,UDP,UDP,1,2763,2571,192,7392.26,57,1,0.522493,4.51128,3.98879,7967.29,93.051
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,8,1440,UDP,UDP,1,2748,2746,2,7938.47,16,0,0.543545,4.51071,3.96716,7967.31,99.9272
8,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.1,300,UDP,UDP,1,165,0,165,0,0,0,0.544,0,5,107.421,0
9,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,8,1440,UDP,UDP,1,2733,2715,18,7891.37,40,1,0.564598,4.51039,3.94579,7967.32,99.3414
10,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.1,300,UDP,UDP,1,164,0,164,0,0,0,0.565053,0,5,107.425,0
11,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,8,1440,UDP,UDP,1,2719,2716,3,7934.74,16,0,0.585651,4.51131,3.92566,7967.34,99.8897
12,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.1,300,UDP,UDP,1,164,164,0,107.209,7,0,0.586105,4.50603,3.91992,107.425,100
13,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,1217,1217,0,233.293,0,0,0.59403,4.50649,3.91247,233.293,100
14,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,8,1440,UDP,UDP,1,2704,2701,3,7934.63,16,0,0.606703,4.51074,3.90404,7967.36,99.8891
15,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.1,300,UDP,UDP,1,163,4,159,129.198,7,0,0.607158,0.686494,0.0793358,107.429,2.45399
16,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,8,1440,UDP,UDP,1,2690,2687,3,7935.05,18,0,0.627756,4.51135,3.88359,7967.37,99.8885
17,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.1,300,UDP,UDP,1,162,1,161,327.728,7,0,0.628211,0.63603,0.00781899,107.433,0.617284
18,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,8,1440,UDP,UDP,1,2675,2671,4,7931.97,17,0,0.648808,4.51078,3.86197,7967.39,99.8505
