Component,Metric,Value
cache,lookup_hits,5491046
cache,lookup_misses,2
cache,refresh_calls,2
cache,refresh_seconds,0.779859
cache,sionna_calculation_calls,2
cache,sionna_calculation_seconds,0.175733
cache,pybind_conversion_records,40
cache,spectrum_channel_matrix_calls,1372762
cache,spectrum_channel_matrix_seconds,9.46099
cache,port_cfr_cache_hits,1360881
cache,port_cfr_cache_misses,31054
cache,port_cfr_seconds,2.54437
cache,effective_gain_cache_hits,1339168
cache,effective_gain_cache_misses,33594
cache,effective_gain_seconds,8.63638
cache,scaled_matrix_cache_hits,14421
cache,scaled_matrix_cache_misses,1358341
python,cpp_pybind_conversion_records,40
python,cpp_pybind_conversion_seconds,0.00559002
python,propagation_calculation_calls,2
python,propagation_calculation_receiver_count,40
python,python_cfr_seconds,0.0184272
python,python_export_seconds,0.0512299
python,python_initialize_seconds,2.3925
python,python_path_solve_seconds,0.0905771
python,python_perform_calculation_seconds,0.170039
phased_model,do_calc_rx_psd_calls,3416060
phased_model,do_calc_rx_psd_seconds,20.5988
phased_model,effective_gain_fast_path_calls,1372762
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,9.71783
