Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,4213,14.7042,26.4621,25,27,2,2,2
2,4594,11.3354,19.889,16,27,2,2,2
3,4176,15,27,27,27,2,2,2
4,4102,15,27,27,27,2,2,2
5,4096,15,27,27,27,2,2,2
6,4081,13.7011,24.7011,24,25,2,2,2
7,4040,15,27,27,27,2,2,2
8,4001,15,27,27,27,2,2,2
9,3994,11.7864,21.2974,18,24,2,2,2
10,4551,6.99846,11.3788,10,12,2,2,2
11,3718,8.53389,14.3892,13,15,2,2,2
21,3861,14.7312,26.7312,26,27,2,2,2
22,2644,15,27,27,27,2,2,2
23,2658,14.9989,26.9977,25,27,2,2,2
24,3846,13.9132,25.4935,24,27,2,2,2
25,3803,15,27,27,27,2,2,2
26,3710,14.6774,26.3547,25,27,2,2,2
27,4300,12.254,22.3116,18,27,2,2,2
28,3988,15,27,27,27,2,2,2
29,4163,14.4641,25.9282,25,27,2,2,2
