Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,4213,0,0,0,14.7042,26.4621,25,27,2,2,2,0,-inf,0,0,22.1972,21,22.7
2,4594,0,0,0,11.3354,19.889,16,27,2,2,2,0,-inf,0,0,14.6745,10.3,22.7
3,4176,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
4,4102,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,4096,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
6,4081,0,0,0,13.7011,24.7011,24,25,2,2,2,0,-inf,0,0,20.3124,18.7,21
7,4040,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,4001,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
9,3994,0,0,0,11.7864,21.2974,18,24,2,2,2,0,-inf,0,0,15.868,11.7,18.7
10,4551,0,0,0,6.99846,11.3788,10,12,2,2,2,0,-inf,0,0,5.89754,4.3,5.9
11,3718,0,0,0,8.53389,14.3892,13,15,2,2,2,0,-inf,0,0,9.27456,8.1,10.3
21,3861,0,0,0,14.7312,26.7312,26,27,2,2,2,0,-inf,0,0,22.243,21,22.7
22,2644,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
23,2658,0,0,0,14.9989,26.9977,25,27,2,2,2,0,-inf,0,0,22.6981,21,22.7
24,3846,0,0,0,13.9132,25.4935,24,27,2,2,2,0,-inf,0,0,20.6006,18.7,22.7
25,3803,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
26,3710,0,0,0,14.6774,26.3547,25,27,2,2,2,0,-inf,0,0,22.1515,21,22.7
27,4300,0,0,0,12.254,22.3116,18,27,2,2,2,0,-inf,0,0,16.8284,11.7,22.7
28,3988,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
29,4163,0,0,0,14.4641,25.9282,25,27,2,2,2,0,-inf,0,0,21.789,21,22.7
