NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,415.499,5,3.73789,0.780243,0.0366752,0.445188,0
1,UE,0,100000,100000,0.297971,5,4.6118,0.259098,0.0254627,0.103641,0
2,UE,0,100000,100000,0.298515,5,4.61001,0.259098,0.0258198,0.105069,0
3,UE,0,100000,100000,0.301467,5,4.60034,0.259098,0.0266055,0.113962,0
4,UE,0,100000,100000,0.297481,5,4.61341,0.259098,0.0251413,0.102355,0
5,UE,0,100000,100000,0.300683,5,4.60291,0.259098,0.0262841,0.111712,0
6,UE,0,100000,100000,0.29698,5,4.61505,0.259098,0.0248199,0.101033,0
7,UE,0,100000,100000,0.296751,5,4.6158,0.259098,0.0247125,0.100391,0
8,UE,0,100000,100000,0.29979,5,4.60583,0.259098,0.0257841,0.109283,0
9,UE,0,100000,100000,0.297873,5,4.61212,0.259098,0.0249627,0.103819,0
10,UE,0,100000,100000,0.296138,5,4.61801,0.259098,0.0242128,0.0986763,0
11,UE,0,100000,100000,0.300574,5,4.60326,0.259098,0.0245342,0.113104,0
12,UE,0,100000,100000,0.295705,5,4.61923,0.259098,0.0239985,0.0976764,0
13,UE,0,100000,100000,0.274182,5,4.6898,0.259098,0.00839232,0.0427132,0
14,UE,0,100000,100000,0.274192,5,4.68976,0.259098,0.00839232,0.0427489,0
15,UE,0,100000,100000,0.285025,5,4.64094,0.256955,0.0183917,0.0837122,0
16,UE,0,100000,100000,0.285107,5,4.65398,0.259098,0.0166418,0.0702841,0
17,UE,0,100000,100000,0.265184,5,4.7193,0.259098,0.00357121,0.0180353,0
18,UE,0,100000,100000,0.277384,5,4.6793,0.259098,0.0119636,0.0496417,0
19,UE,0,100000,100000,0.28026,5,4.66987,0.259098,0.0126064,0.0584272,0
20,UE,0,100000,100000,0.28014,5,4.67026,0.259098,0.0126064,0.0580344,0
