Component,Metric,Value
cache,lookup_hits,1544628
cache,lookup_misses,4
cache,refresh_calls,4
cache,refresh_seconds,3.02805
cache,sionna_calculation_calls,4
cache,sionna_calculation_seconds,1.81385
cache,pybind_conversion_records,80
cache,spectrum_channel_matrix_calls,386158
cache,spectrum_channel_matrix_seconds,18.0493
cache,port_cfr_cache_hits,364140
cache,port_cfr_cache_misses,25633
cache,port_cfr_seconds,9.90415
cache,effective_gain_cache_hits,358665
cache,effective_gain_cache_misses,27493
cache,effective_gain_seconds,6.85518
cache,scaled_matrix_cache_hits,23878
cache,scaled_matrix_cache_misses,362280
python,cpp_pybind_conversion_records,80
python,cpp_pybind_conversion_seconds,0.0834294
python,propagation_calculation_calls,4
python,propagation_calculation_receiver_count,80
python,python_cfr_seconds,0.33767
python,python_export_seconds,0.610658
python,python_initialize_seconds,2.43399
python,python_path_solve_seconds,0.476979
python,python_perform_calculation_seconds,1.73012
phased_model,do_calc_rx_psd_calls,864160
phased_model,do_calc_rx_psd_seconds,25.7723
phased_model,effective_gain_fast_path_calls,386158
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,7.20332
