Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2781,14.6969,26.4466,25,27,2,2,2
2,3445,11.1736,19.5504,16,27,2,2,2
3,2854,15,27,27,27,2,2,2
4,2734,15,27,27,27,2,2,2
5,2716,15,27,27,27,2,2,2
6,2704,13.72,24.72,24,25,2,2,2
7,2691,15,27,27,27,2,2,2
8,2674,15,27,27,27,2,2,2
9,2766,11.744,21.2223,18,24,2,2,2
10,2644,7,11.3185,11,12,2,2,2
11,2721,8.74715,14.7442,13,15,2,2,2
21,2619,14.7453,26.7453,26,27,2,2,2
22,467,15,27,27,27,2,2,2
23,466,14.9979,26.9957,25,27,2,2,2
24,4993,13.8945,25.4614,24,27,2,2,2
25,4599,15,27,27,27,2,2,2
26,920,14.6685,26.337,25,27,2,2,2
27,3169,12.1429,22.0565,18,27,2,2,2
28,3272,15,27,27,27,2,2,2
29,3140,14.5271,26.0541,25,27,2,2,2
