FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44428.2,0,0,0.016634,0.0176363,0.00100232,44523,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44428.2,0,0,0.0166342,0.0176366,0.00100232,44438.4,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41622.9,0,0,0.0166345,0.0176368,0.0010023,41631.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41622.9,0,0,0.0166347,0.017637,0.0010023,41631.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,25,1440,UDP,UDP,1,8680,8068,612,23071.4,145,0,0.500461,4.51105,4.01059,24891.6,92.9493
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,25,1440,UDP,UDP,1,8634,7822,812,21823.4,148,1,0.521513,4.63217,4.11066,24891.7,90.5953
7,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.3125,300,UDP,UDP,1,518,10,508,363.977,1,0,0.52768,0.598083,0.0704028,334.303,1.9305
8,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,332,332,0,383.519,0,0,0.529708,1.17896,0.64925,383.519,100
9,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,25,1440,UDP,UDP,1,8589,8530,59,24655.3,50,0,0.542566,4.51041,3.96785,24891.7,99.3131
10,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.3125,300,UDP,UDP,1,515,1,514,988.87,2,0,0.548733,0.551324,0.00259134,334.307,0.194175
11,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,25,1440,UDP,UDP,1,8543,8526,17,24776,29,0,0.563619,4.51029,3.94667,24891.7,99.801
12,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.3125,300,UDP,UDP,1,512,3,509,444.424,1,0,0.569785,0.587083,0.0172977,334.311,0.585938
13,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,25,1440,UDP,UDP,1,8497,7728,769,21625.2,432,0,0.584671,4.68315,4.09848,24891.7,90.9497
14,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.3125,300,UDP,UDP,1,510,0,510,0,0,0,0.590838,0,5,334.314,0
15,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,25,1440,UDP,UDP,1,8452,8448,4,24813.3,19,0,0.605724,4.5104,3.90468,24891.7,99.9527
16,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.3125,300,UDP,UDP,1,507,0,507,0,0,0,0.611891,0,5,334.317,0
17,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,25,1440,UDP,UDP,1,8406,8362,44,24694.6,19,0,0.626777,4.51028,3.8835,24891.7,99.4766
18,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.3125,300,UDP,UDP,1,504,2,502,576.513,1,0,0.632943,0.641833,0.00888965,334.321,0.396825
19,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,25,1440,UDP,UDP,1,8360,7892,468,22621,393,0,0.647829,4.64905,4.00122,24891.8,94.4019
20,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.3125,300,UDP,UDP,1,501,5,496,400.866,1,0,0.653996,0.685958,0.031962,334.325,0.998004
21,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,25,1440,UDP,UDP,1,8315,8312,3,24815.3,17,0,0.668882,4.51039,3.84151,24891.8,99.9639
22,7.0.0.9,1.0.0.1,49153,5027,UL,video,7,0.3125,300,UDP,UDP,1,499,0,499,0,0,0,0.675048,0,5,334.328,0
23,1.0.0.2,7.0.0.11,49162,5009,DL,video,9,25,1440,UDP,UDP,1,8269,6634,1635,18980.3,173,0,0.689934,4.6985,4.00857,24891.8,80.2274
24,7.0.0.10,1.0.0.1,49153,5028,UL,video,8,0.3125,300,UDP,UDP,1,496,6,490,386.97,1,0,0.696101,0.735833,0.0397318,334.332,1.20968
25,1.0.0.2,7.0.0.12,49163,5010,DL,video,10,25,1440,UDP,UDP,1,8223,7582,641,21849.4,122,0,0.710987,4.69079,3.9798,24891.8,92.2048
26,7.0.0.11,1.0.0.1,49153,5029,UL,video,9,0.3125,300,UDP,UDP,1,493,0,493,0,0,0,0.717154,0,5,334.336,0
27,1.0.0.2,7.0.0.13,49164,5011,DL,video,11,25,1440,UDP,UDP,1,8177,7702,475,22520,119,0,0.73204,4.65444,3.9224,24891.8,94.191
28,7.0.0.12,1.0.0.1,49153,5030,UL,video,10,0.3125,300,UDP,UDP,1,490,1,489,445.525,5,0,0.738206,0.743958,0.00575164,334.34,0.204082
29,1.0.0.2,7.0.0.14,49165,5012,DL,voip,12,1,160,UDP,UDP,1,2927,2919,8,1141.52,22,0,0.753912,4.50968,3.75577,1147.85,99.7267
30,7.0.0.13,1.0.0.1,49153,5031,UL,video,11,0.3125,300,UDP,UDP,1,488,0,488,0,0,0,0.759259,0,5,334.343,0
31,1.0.0.2,7.0.0.15,49166,5013,DL,voip,13,1,160,UDP,UDP,1,2911,2823,88,1064.22,86,1,0.774964,4.67104,3.89607,1147.85,96.977
32,7.0.0.14,1.0.0.1,49153,5032,UL,voip,12,0.25,160,UDP,UDP,1,727,1,726,705.759,2,0,0.777752,0.779833,0.00208109,287.259,0.137552
33,1.0.0.2,7.0.0.16,49167,5014,DL,social,14,20,500,UDP,UDP,1,18526,16580,1946,17851.9,114,0,0.794937,4.62604,3.8311,20626.1,89.4958
34,7.0.0.15,1.0.0.1,49153,5033,UL,voip,13,0.25,160,UDP,UDP,1,723,66,657,254.996,81,8,0.798804,1.17896,0.380154,287.262,9.12863
35,1.0.0.2,7.0.0.17,49168,5015,DL,social,15,20,500,UDP,UDP,1,18421,15465,2956,16756.5,122,0,0.815989,4.62306,3.80707,20626.1,83.9531
36,7.0.0.16,1.0.0.1,49153,5034,UL,social,14,1,250,UDP,UDP,1,1842,22,1820,1086.65,1,0,0.816737,0.860708,0.0439711,1086.53,1.19435
37,1.0.0.2,7.0.0.18,49169,5016,DL,gaming,16,10,500,UDP,UDP,1,9157,6331,2826,6852.69,159,1,0.837242,4.64821,3.81097,10313.6,69.1384
38,7.0.0.17,1.0.0.1,49153,5035,UL,social,15,1,250,UDP,UDP,1,1832,4,1828,1191.16,1,0,0.837789,0.845083,0.00729329,1086.53,0.218341
39,7.0.0.18,1.0.0.1,49153,5036,UL,gaming,16,2.5,250,UDP,UDP,1,4553,211,4342,2712.58,1,0,0.857642,1.02658,0.168941,2715.44,4.63431
40,1.0.0.2,7.0.0.19,49170,5017,DL,ftp,17,50,1440,UDP,UDP,1,15807,4389,11418,12411.1,1484,21,0.858125,4.88881,4.03069,49780.7,27.7662
41,1.0.0.2,7.0.0.20,49171,5018,DL,ftp,18,50,1440,UDP,UDP,1,15716,8001,7715,24080.2,162,6,0.879178,4.68983,3.81065,49780.7,50.9099
42,7.0.0.19,1.0.0.1,49153,5037,UL,ftp,17,2.5,1000,UDP,UDP,1,1131,0,1131,0,0,0,0.881095,0,5,2511.99,0
43,1.0.0.2,7.0.0.21,49172,5019,DL,ftp,19,50,1440,UDP,UDP,1,15624,11033,4591,31176.4,1070,3,0.90023,4.95724,4.05701,49780.7,70.6157
44,7.0.0.20,1.0.0.1,49153,5038,UL,ftp,18,2.5,1000,UDP,UDP,1,1125,0,1125,0,0,0,0.902147,0,5,2512,0
45,7.0.0.21,1.0.0.1,49153,5039,UL,ftp,19,2.5,1000,UDP,UDP,1,1118,0,1118,0,0,0,0.9232,0,5,2512.01,0
