Component,Metric,Value
cache,lookup_hits,0
cache,lookup_misses,0
cache,refresh_calls,0
cache,refresh_seconds,0
cache,sionna_calculation_calls,0
cache,sionna_calculation_seconds,0
cache,pybind_conversion_records,0
cache,spectrum_channel_matrix_calls,0
cache,spectrum_channel_matrix_seconds,0
cache,port_cfr_cache_hits,0
cache,port_cfr_cache_misses,0
cache,port_cfr_seconds,0
cache,effective_gain_cache_hits,0
cache,effective_gain_cache_misses,0
cache,effective_gain_seconds,0
cache,scaled_matrix_cache_hits,0
cache,scaled_matrix_cache_misses,0
