UeIndex,UeNodeId,Distance_m,HorizontalDistance_m,Azimuth_deg,Elevation_deg,FreeSpacePathloss_dB,EstimatedRxPower_dBm
0,1,34.2135,33.1408,104.474,-14.3852,92.0771,-59.0771
1,2,52.2802,51.5845,92.4771,-9.357,95.7599,-62.7599
2,3,65.1935,64.637,113.027,-7.49161,97.6772,-64.6772
3,4,27.4941,26.1472,115.804,-18.0085,90.1779,-57.1779
4,5,55.9846,55.3356,113.445,-8.73284,96.3545,-63.3545
5,6,24.2251,22.6849,86.1224,-20.5409,89.0785,-56.0785
6,7,28.4068,27.1052,75.4433,-17.411,90.4616,-57.4616
7,8,76.6254,76.1525,108.217,-6.36888,99.0806,-66.0806
8,9,33.7576,32.67,80.195,-14.5837,91.9606,-58.9606
9,10,76.2505,75.7753,90.8814,-6.40033,99.038,-66.038
10,11,69.3305,68.8075,79.0308,-7.04225,98.2116,-65.2116
11,12,79.311,78.8542,102.01,-6.15238,99.3798,-66.3798
12,13,50.6163,49.8975,65.4805,-9.66749,95.479,-62.479
13,14,79.8105,79.3566,112.446,-6.11373,99.4344,-66.4344
14,15,78.7798,78.3199,68.9298,-6.19402,99.3215,-66.3215
15,16,36.583,35.5818,72.3875,-13.4354,92.6587,-59.6587
16,17,68.7876,68.2604,65.1641,-7.09811,98.1434,-65.1434
17,18,78.7492,78.2891,62.8472,-6.19644,99.3181,-66.3181
18,19,29.8761,28.6414,71.6155,-16.5295,90.8996,-57.8996
19,20,52.732,52.0424,74.0134,-9.27612,95.8346,-62.8346
