Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,752,9.6742,16.9056,6,25,1.99867,1,2
2,838,13.3449,24.074,13,27,2,2,2
3,699,15,27,27,27,2,2,2
4,724,15,27,27,27,2,2,2
5,886,3.55418,5.09029,0,13,1.01919,1,2
6,716,15,27,27,27,2,2,2
7,675,15,27,27,27,2,2,2
8,1108,1.70397,1.66065,0,6,1,1,1
9,666,15,27,27,27,2,2,2
10,911,7.18222,11.798,6,22,1.30516,1,2
21,796,4.57035,6.71482,2,16,1.11432,1,2
22,698,5.64183,8.91834,0,13,1.00573,1,2
23,187,15,27,27,27,2,2,2
24,245,9.8,17.2408,13,18,2,2,2
25,551,7.28857,12.0672,3,16,1,1,1
26,507,11.428,20.5542,11,26,2,2,2
27,176,4.96023,7.51705,2,11,1,1,1
28,574,1.85366,1.68815,0,4,1,1,1
29,337,15,27,27,27,2,2,2
30,599,1.82471,1.56427,0,4,1,1,1
