Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,752,0,0,0,9.6742,16.9056,6,25,1.99867,1,2,0,-inf,0,0,11.4411,0.2,21
2,838,0,0,0,13.3449,24.074,13,27,2,2,2,0,-inf,0,0,19.4104,8.1,22.7
3,699,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
4,724,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,886,0,0,0,3.55418,5.09029,0,13,1.01919,1,2,0,-inf,0,0,0.772348,-4.7,8.1
6,716,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,675,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,1108,0,0,0,1.70397,1.66065,0,6,1,1,1,0,-inf,0,0,-2.3213,-4.7,0.2
9,666,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,911,0,0,0,7.18222,11.798,6,22,1.30516,1,2,0,-inf,0,0,6.51976,0.2,16.3
21,796,0,0,0,4.57035,6.71482,2,16,1.11432,1,2,0,-inf,0,0,1.21972,-4.7,10.3
22,698,0,0,0,5.64183,8.91834,0,13,1.00573,1,2,0,-inf,0,0,3.58711,0.2,8.1
23,187,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
24,245,0,0,0,9.8,17.2408,13,18,2,2,2,0,-inf,0,0,11.4167,8.1,11.7
25,551,0,0,0,7.28857,12.0672,3,16,1,1,1,0,-inf,0,0,6.70744,-2.3,10.3
26,507,0,0,0,11.428,20.5542,11,26,2,2,2,0,-inf,0,0,15.0442,5.9,21
27,176,0,0,0,4.96023,7.51705,2,11,1,1,1,0,-inf,0,0,2.15966,-4.7,5.9
28,574,0,0,0,1.85366,1.68815,0,4,1,1,1,0,-inf,0,0,-2.9493,-4.7,-2.3
29,337,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
30,599,0,0,0,1.82471,1.56427,0,4,1,1,1,0,-inf,0,0,-3.04307,-4.7,-2.3
