Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2805,0,0,0,8.15829,13.7048,2,18,1.93155,1,2,0,-inf,0,0,8.38791,-4.7,11.7
2,2875,0,0,0,9.98991,17.6675,6,27,1.92209,1,2,0,-inf,0,0,11.9629,0.2,22.7
3,2815,0,0,0,14.5879,26.2032,10,27,2,2,2,0,-inf,0,0,21.8407,4.3,22.7
4,2862,0,0,0,14.9976,26.9958,22,27,2,2,2,0,-inf,0,0,22.6952,16.3,22.7
5,6020,0,0,0,1.4995,1.62243,0,8,1.00033,1,2,0,-inf,0,0,-1.50482,-4.7,2.4
6,2855,0,0,0,14.8326,26.6911,18,27,2,2,2,0,-inf,0,0,22.3512,11.7,22.7
7,2683,0,0,0,14.5058,26.0622,10,27,2,2,2,0,-inf,0,0,21.6515,4.3,22.7
8,11903,0,0,0,0.346299,0.17315,0,1,1,1,1,0,-inf,0,0,-0.813803,-4.7,-4.7
9,2660,0,0,0,14.7658,26.5575,12,27,2,2,2,0,-inf,0,0,22.207,5.9,22.7
10,5360,0,0,0,2.35075,2.28881,0,5,1,1,1,0,-inf,0,0,-3.74573,-4.7,0.2
21,3852,0,0,0,2.79517,3.48832,0,8,1.00571,1,2,0,-inf,0,0,-1.4947,-4.7,2.4
22,3418,0,0,0,3.33792,4.60035,0,10,1,1,1,0,-inf,0,0,-0.230983,-4.7,4.3
23,374,0,0,0,14.9786,26.9599,18,27,2,2,2,0,-inf,0,0,22.6535,11.7,22.7
24,472,0,0,0,9.00636,15.7034,5,23,1.99153,1,2,0,-inf,0,0,9.95297,0.2,18.7
25,4716,0,0,0,5.5687,8.82125,0,16,1,1,1,0,-inf,0,0,3.91539,-4.7,10.3
26,4788,0,0,0,12.2667,21.8891,6,27,1.96784,1,2,0,-inf,0,0,17.1229,0.2,22.7
27,1352,0,0,0,6.2818,10.2056,0,21,1.20562,1,2,0,-inf,0,0,5.11901,-4.7,16.3
28,7964,0,0,0,1.16173,1.00289,0,6,1,1,1,0,-inf,0,0,-1.92195,-4.7,0.2
29,3344,0,0,0,13.1316,23.4827,11,27,2,2,2,0,-inf,0,0,18.7464,5.9,22.7
30,16722,0,0,0,0.482,0.288961,0,2,1,1,1,0,-inf,0,0,-1.1327,-4.7,-4.7
