Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,9294,8.76275,14.9161,2,21,1.99677,1,2
2,9846,13.3631,24.0711,11,27,1.99929,1,2
3,8562,14.9966,26.9935,15,27,2,2,2
4,8521,15,27,27,27,2,2,2
5,15948,3.86193,5.37723,0,17,1.19238,1,2
6,8427,15,27,27,27,2,2,2
7,8387,14.9988,26.9976,7,27,2,2,2
8,16934,4.00655,5.59071,0,11,1,1,1
9,8292,15,27,27,27,2,2,2
10,11136,5.93804,9.39215,4,20,1.5035,1,2
21,11483,6.10302,9.80745,0,19,1.20256,1,2
22,14673,4.25762,6.02351,0,12,1.01983,1,2
23,2926,14.9826,26.9713,20,27,2,2,2
24,2914,11.3294,20.3847,6,25,1.99966,1,2
25,18394,13.2497,23.9817,4,27,1.04953,1,2
26,18341,14.417,25.986,9,27,1.99945,1,2
27,11205,6.73083,10.9794,0,23,1.63311,1,2
28,18126,4.5091,6.63693,0,13,1.00364,1,2
29,13901,13.6754,24.4897,10,27,2,2,2
30,21428,4.131,5.80096,0,12,1.00789,1,2
