NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,361.559,5,1.0795,0.932009,0.0186282,2.96987,0
1,UE,0,100000,100000,0.388934,5,4.28666,0.30616,0.0845805,0.322595,0
2,UE,0,100000,100000,0.393733,5,4.27093,0.30616,0.0888091,0.334103,0
3,UE,0,100000,100000,0.381997,5,4.30941,0.30616,0.076772,0.307659,0
4,UE,0,100000,100000,0.381441,5,4.31123,0.30616,0.0763707,0.30624,0
5,UE,0,100000,100000,0.465678,5,4.03504,0.30616,0.264087,0.394711,0
6,UE,0,100000,100000,0.380142,5,4.31549,0.30616,0.0755229,0.302829,0
7,UE,0,100000,100000,0.379644,5,4.31712,0.30616,0.0751658,0.301553,0
8,UE,0,100000,100000,0.465004,5,4.03725,0.30616,0.249403,0.407183,0
9,UE,0,100000,100000,0.378321,5,4.32146,0.30616,0.0743178,0.298062,0
10,UE,0,100000,100000,0.415741,5,4.19877,0.30616,0.153878,0.341191,0
11,UE,0,100000,100000,0.418691,5,4.1891,0.30616,0.164059,0.340682,0
12,UE,0,100000,100000,0.449597,5,4.08777,0.30616,0.227226,0.378847,0
13,UE,0,100000,100000,0.305668,5,4.55967,0.30616,0.0262142,0.10796,0
14,UE,0,100000,100000,0.306191,5,4.55795,0.30616,0.026081,0.109808,0
15,UE,0,100000,100000,0.476412,5,3.99985,0.30616,0.180832,0.513159,0
16,UE,0,100000,100000,0.46798,5,4.02755,0.30616,0.189109,0.477184,0
17,UE,0,100000,100000,0.398912,5,4.25395,0.30616,0.118628,0.321265,0
18,UE,0,100000,100000,0.481482,5,3.98322,0.30616,0.432648,0.277966,0
19,UE,0,100000,100000,0.413662,5,4.20559,0.30616,0.238415,0.249836,0
20,UE,0,100000,100000,0.521118,5,3.85322,0.306258,0.401632,0.438893,0
