NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,230.56,5,2.95408,0.870459,0.0180663,1.15739,0
1,UE,0,100000,100000,0.301772,5,4.58128,0.290761,0.0250018,0.102961,0
2,UE,0,100000,100000,0.305935,5,4.56763,0.290761,0.0271349,0.114477,0
3,UE,0,100000,100000,0.302842,5,4.57777,0.290761,0.0254213,0.106049,0
4,UE,0,100000,100000,0.303931,5,4.5742,0.290761,0.0257426,0.109299,0
5,UE,0,100000,100000,0.319215,5,4.52408,0.290761,0.0823812,0.102773,0
6,UE,0,100000,100000,0.304285,5,4.57304,0.290761,0.0257158,0.110486,0
7,UE,0,100000,100000,0.300658,5,4.58493,0.290761,0.0241627,0.100148,0
8,UE,0,100000,100000,0.330336,5,4.48762,0.290761,0.117263,0.104353,0
9,UE,0,100000,100000,0.300269,5,4.5862,0.290761,0.0239039,0.0991307,0
10,UE,0,100000,100000,0.314245,5,4.54038,0.290761,0.0571062,0.111754,0
11,UE,0,100000,100000,0.338505,5,4.46084,0.290761,0.139724,0.108674,0
12,UE,0,100000,100000,0.303893,5,4.57432,0.290761,0.028912,0.106005,0
13,UE,0,100000,100000,0.269207,5,4.68805,0.290761,0.00335618,0.0178369,0
14,UE,0,100000,100000,0.271586,5,4.68024,0.290761,0.00448007,0.0245145,0
15,UE,0,100000,100000,0.33023,5,4.48797,0.290761,0.0437549,0.177513,0
16,UE,0,100000,100000,0.328683,5,4.49309,0.290761,0.0431304,0.173015,0
17,UE,0,100000,100000,0.282641,5,4.644,0.290761,0.0124161,0.0528238,0
18,UE,0,100000,100000,0.409961,5,4.22644,0.290957,0.317405,0.165194,0
19,UE,0,100000,100000,0.310705,5,4.55199,0.290761,0.0300711,0.127181,0
20,UE,0,100000,100000,0.323863,5,4.50885,0.290761,0.0687561,0.131636,0
